Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Word Break,100.0,0.004958115607305286,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Implement Trie (Prefix Tree),100.0,0.006966368984336239,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Intersection of Two Arrays,97.1,0.007793575891192581,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Snapshot Array,97.1,0.003675117019767636,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
HARD,Merge k Sorted Lists,85.4,0.005981770933714283,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Text Justification,85.4,0.005138912766775961,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Convert JSON String to Object,79.8,0.006211734693877551,https://leetcode.com/problems/convert-json-string-to-object,
MEDIUM,LRU Cache,79.8,0.0047546323694833215,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Interval,72.6,0.004541527932640614,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Web Crawler Multithreaded,72.6,0.005124413701615578,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
MEDIUM,Stock Price Fluctuation ,72.6,0.004910813552048997,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
MEDIUM,Course Schedule II,72.6,0.005574064248206421,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Merge Intervals,72.6,0.005211655521302724,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Merge Two Binary Trees,62.6,0.007909665891008208,https://leetcode.com/problems/merge-two-binary-trees,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,62.6,0.004509749180606527,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Sliding Window Maximum,62.6,0.004889040365542707,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Lowest Common Ancestor of a Binary Tree,62.6,0.006956372667002738,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Design Search Autocomplete System,62.6,0.004999676647481084,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,62.6,0.008300866614514015,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
MEDIUM,String Compression,62.6,0.006021206845680404,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,Word Break II,62.6,0.005572765865906577,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Merge Two Sorted Lists,62.6,0.006845218411837163,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Clone Graph,62.6,0.006556149368094145,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Time Based Key-Value Store,62.6,0.004999044837129858,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
