Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.005696324969816136,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,84.9,0.00576889924326376,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,81.2,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Count Subarrays With Fixed Bounds,81.2,0.006919864288188024,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Best Team With No Conflicts,71.3,0.005075370824456325,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
EASY,First Unique Character in a String,71.3,0.006571206278766355,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,LRU Cache,64.3,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Kth Largest Element in an Array,64.3,0.006903925509678337,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Copy List with Random Pointer,64.3,0.0063142670163016555,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Group Anagrams,64.3,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Stamping The Sequence,64.3,0.006236676321852266,https://leetcode.com/problems/stamping-the-sequence,"String, Stack, Greedy, Queue"
MEDIUM,Make K-Subarray Sums Equal,64.3,0.003871315505771607,https://leetcode.com/problems/make-k-subarray-sums-equal,"Array, Math, Greedy, Sorting, Number Theory"
MEDIUM,Sort Colors,64.3,0.0069875333589558995,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Palindrome Number,64.3,0.006069203479428985,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Minimum Number of Lines to Cover Points,54.5,0.004409173754556501,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
HARD,Find the Longest Valid Obstacle Course at Each Position,54.5,0.0062520969411428776,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree"
EASY,Minimum Cost to Move Chips to The Same Position,54.5,0.007299803681703723,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
EASY,Find Subarrays With Equal Sum,54.5,0.006712541207330474,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
EASY,The Employee That Worked on the Longest Task,54.5,0.0051841461161910045,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
MEDIUM,Find The Original Array of Prefix Xor,54.5,0.008839120207756422,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
EASY,Next Greater Element I,54.5,0.007635179062837861,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Meeting Rooms II,54.5,0.005272296104570236,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Contiguous Array,54.5,0.005159851428096188,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
MEDIUM,Generate Parentheses,54.5,0.007881147920590324,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
