Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Best Time to Buy and Sell Stock,100.0,0.005696324969816136,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Best Team With No Conflicts,96.1,0.005075370824456325,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
HARD,Find the Longest Valid Obstacle Course at Each Position,91.6,0.0062520969411428776,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree"
MEDIUM,Minimum Number of Lines to Cover Points,91.6,0.004409173754556501,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
EASY,Minimum Cost to Move Chips to The Same Position,91.6,0.007299803681703723,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
EASY,Find Subarrays With Equal Sum,91.6,0.006712541207330474,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
EASY,The Employee That Worked on the Longest Task,91.6,0.0051841461161910045,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
MEDIUM,Find The Original Array of Prefix Xor,91.6,0.008839120207756422,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
EASY,Two Sum,86.0,0.00576889924326376,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,78.8,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Count Subarrays With Fixed Bounds,78.8,0.006919864288188024,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Delete and Earn,78.8,0.0057310001745724546,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Merge Intervals,68.6,0.005211659052989144,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,68.6,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Number,68.6,0.006069203479428985,https://leetcode.com/problems/palindrome-number,Math
EASY,First Unique Character in a String,68.6,0.006571206278766355,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Jump Game,61.5,0.004106528066517647,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Sort Colors,61.5,0.0069875333589558995,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Copy List with Random Pointer,61.5,0.0063142670163016555,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Kth Largest Element in an Array,61.5,0.006903925509678337,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Group Anagrams,61.5,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,61.5,0.006308047109854704,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Stamping The Sequence,61.5,0.006236676321852266,https://leetcode.com/problems/stamping-the-sequence,"String, Stack, Greedy, Queue"
MEDIUM,Make K-Subarray Sums Equal,61.5,0.003871315505771607,https://leetcode.com/problems/make-k-subarray-sums-equal,"Array, Math, Greedy, Sorting, Number Theory"
MEDIUM,Spiral Matrix,61.5,0.0057073827318806,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Daily Temperatures,61.5,0.006882775719773704,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Remove Nth Node From End of List,61.5,0.005188575486360663,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Next Greater Element I,51.4,0.007635179062837861,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Contiguous Array,51.4,0.005159851428096188,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
MEDIUM,Meeting Rooms II,51.4,0.005272296104570236,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,3Sum,51.4,0.003930111735152694,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Subarrays with K Different Integers,51.4,0.006840546034485012,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Generate Parentheses,51.4,0.007881147920590324,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Kth Missing Positive Number,51.4,0.006361361408984081,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
MEDIUM,Coin Change II,51.4,0.005977247454814678,https://leetcode.com/problems/coin-change-ii,"Array, Dynamic Programming"
MEDIUM,Word Search,51.4,0.004758754509763642,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Minimum Operations to Reduce X to Zero,51.4,0.0040648895742123855,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,"Array, Hash Table, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Remove All Adjacent Duplicates in String II,51.4,0.006146407520651143,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Longest Common Subsequence,51.4,0.005928444184260553,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Next Greater Element III,51.4,0.003540402177993495,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,51.4,0.004041874892297088,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
MEDIUM,Minimum Suffix Flips,51.4,0.0073972424133772275,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
MEDIUM,Next Greater Element II,51.4,0.006860808368965736,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
HARD,Minimum Number of Taps to Open to Water a Garden,51.4,0.00510158183714239,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Least Number of Unique Integers after K Removals,51.4,0.006385890097373843,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
HARD,Candy,51.4,0.004866090910243201,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Longest Palindromic Substring,51.4,0.003804649338394558,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Maximum Product Subarray,51.4,0.003657047113958926,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Reorder List,51.4,0.006553509380781896,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Palindrome Linked List,51.4,0.005821424329608197,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Longest Increasing Subsequence,51.4,0.005957461688477769,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
EASY,Majority Element,51.4,0.006637445333955462,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Sum of Subarray Minimums,51.4,0.0038729621751840805,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Coin Change,51.4,0.0048630555109458835,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Shuffle the Array,51.4,0.0088741262061488,https://leetcode.com/problems/shuffle-the-array,Array
MEDIUM,Longest Consecutive Sequence,51.4,0.0047148689032301475,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Container With Most Water,51.4,0.006024273367549198,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Maximum Subarray,51.4,0.0053473774122318254,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Top K Frequent Elements,51.4,0.006670461683417085,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Count of Range Sum,51.4,0.003915849455712323,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
