Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Earnings From Taxi,100.0,0.004659810126582278,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
EASY,Repeated Substring Pattern,69.3,0.0048410366387539976,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
EASY,Best Time to Buy and Sell Stock,69.3,0.005696324969816136,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Largest Rectangle in Histogram,69.3,0.00501877298190832,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,First Missing Positive,69.3,0.004311805478886558,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Rotting Oranges,69.3,0.005886903743348583,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Target Sum,69.3,0.005240821461138241,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
MEDIUM,Deepest Leaves Sum,69.3,0.008655008671931568,https://leetcode.com/problems/deepest-leaves-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Find Pivot Index,69.3,0.0063007350229489275,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Asteroid Collision,59.7,0.004821263960875214,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Largest Number,59.7,0.004323277012540644,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,3Sum,59.7,0.003930111735152694,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Wiggle Sort,59.7,0.006846600673678422,https://leetcode.com/problems/wiggle-sort,"Array, Greedy, Sorting"
MEDIUM,Minimum Moves to Equal Array Elements II,59.7,0.006208181528158687,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,"Array, Math, Sorting"
MEDIUM,Container With Most Water,59.7,0.006024273367549198,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Remove Duplicates from Sorted Array,59.7,0.006308047109854704,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,59.7,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Generate Parentheses,59.7,0.007881147920590324,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Consecutive Sequence,59.7,0.0047148689032301475,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Capacity To Ship Packages Within D Days,59.7,0.007414289858933398,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
