Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Reconstruct Itinerary,100.0,0.004467733280682004,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
MEDIUM,Cache With Time Limit,97.6,0.0076177188393880295,https://leetcode.com/problems/cache-with-time-limit,
MEDIUM,Merge Intervals,95.0,0.005211659052989144,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Meeting Rooms II,95.0,0.005272296104570236,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Logger Rate Limiter,95.0,0.007685429606125137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Time Based Key-Value Store,95.0,0.0049990514497615405,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Contains Duplicate III,95.0,0.00248660837757403,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
MEDIUM,Longest Substring Without Repeating Characters,92.1,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,85.0,0.005574063519942709,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Contains Duplicate II,80.5,0.005145332313043165,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Network Delay Time,80.5,0.006076967916092941,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Word Search,80.5,0.004758754509763642,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Summary Ranges,74.9,0.005436251816307911,https://leetcode.com/problems/summary-ranges,Array
EASY,Contains Duplicate,74.9,0.006445893491938438,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
HARD,First Missing Positive,67.8,0.004311805478886558,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,67.8,0.006670461683417085,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Word Break,67.8,0.004958114627472067,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Koko Eating Bananas,67.8,0.0050152838342237705,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,LRU Cache,57.8,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Fruit Into Baskets,57.8,0.005149140981964402,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,All Paths From Source to Target,57.8,0.008366766961588595,https://leetcode.com/problems/all-paths-from-source-to-target,"Backtracking, Depth-First Search, Breadth-First Search, Graph Theory"
