Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Cache With Time Limit,100.0,0.0076177188393880295,https://leetcode.com/problems/cache-with-time-limit,
MEDIUM,Time Based Key-Value Store,93.8,0.0049990514497615405,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Longest Substring Without Repeating Characters,92.0,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,90.0,0.005574063519942709,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Meeting Rooms II,90.0,0.005272296104570236,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Reconstruct Itinerary,90.0,0.004467733280682004,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
HARD,Contains Duplicate III,90.0,0.00248660837757403,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
MEDIUM,Merge Intervals,87.8,0.005211659052989144,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Logger Rate Limiter,87.8,0.007685429606125137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Parallel Courses,82.6,0.006229483711436016,https://leetcode.com/problems/parallel-courses,"Graph Theory, Topological Sort"
EASY,Contains Duplicate II,76.0,0.005145332313043165,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Word Search,71.8,0.004758754509763642,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Network Delay Time,71.8,0.006076967916092941,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
EASY,Contains Duplicate,71.8,0.006445893491938438,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,String to Integer (atoi),71.8,0.0021184256055070154,https://leetcode.com/problems/string-to-integer-atoi,String
HARD,First Missing Positive,66.6,0.004311805478886558,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,66.6,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Summary Ranges,66.6,0.005436251816307911,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Top K Frequent Elements,60.0,0.006670461683417085,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Word Break,60.0,0.004958114627472067,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Koko Eating Bananas,60.0,0.0050152838342237705,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Fruit Into Baskets,50.7,0.005149140981964402,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,All Paths From Source to Target,50.7,0.008366766961588595,https://leetcode.com/problems/all-paths-from-source-to-target,"Backtracking, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Maximum Length of Repeated Subarray,50.7,0.005143366962535192,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
MEDIUM,Snapshot Array,50.7,0.003675117019767636,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
HARD,LFU Cache,50.7,0.004951368984385962,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find Peak Element,50.7,0.004703003622419267,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Valid Anagram,50.7,0.006826517524251698,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,Design Search Autocomplete System,50.7,0.004999691346230161,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
