Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Happy Number,100.0,0.005983059407156314,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Diagonal Traverse,86.9,0.00672369276625232,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Min Stack,86.9,0.0058311685196637385,https://leetcode.com/problems/min-stack,"Stack, Design"
HARD,Longest Valid Parentheses,86.9,0.0039027671545555035,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Longest Substring Without Repeating Characters,76.5,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,76.5,0.0044365517718025224,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Subarray,76.5,0.0053473774122318254,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Design Graph With Shortest Path Calculator,76.5,0.006530291361827751,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph Theory, Design, Heap (Priority Queue), Shortest Path"
EASY,Can Place Flowers,76.5,0.0029181925281371824,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Next Permutation,76.5,0.004551818501877845,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Best Time to Buy and Sell Stock II,76.5,0.007124013985801119,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Jump Game,76.5,0.004106528066517647,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Find the Duplicate Number,76.5,0.00645236654915622,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Group Anagrams,76.5,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
