Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Number of Visible Points,100.0,0.003825935400444157,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Subrectangle Queries,96.0,0.008641546983316196,https://leetcode.com/problems/subrectangle-queries,"Array, Design, Matrix"
MEDIUM,Random Pick with Weight,84.9,0.004912305039044473,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Evaluate Division,76.0,0.006432735461819808,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
MEDIUM,Interval List Intersections,69.8,0.007306714047381555,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
HARD,Shortest Path in a Grid with Obstacles Elimination,61.0,0.004640312895174158,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Asteroid Collision,61.0,0.004821263960875214,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Sparse Matrix Multiplication,61.0,0.006931907469390533,https://leetcode.com/problems/sparse-matrix-multiplication,"Array, Hash Table, Matrix"
MEDIUM,Merge Intervals,61.0,0.005211659052989144,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Target Sum,61.0,0.005240821461138241,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
HARD,Alien Dictionary,61.0,0.0037248142397902713,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Remove Sub-Folders from the Filesystem,61.0,0.007859792045047111,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
MEDIUM,Minesweeper,61.0,0.006881276467530404,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Dot Product of Two Sparse Vectors,61.0,0.008989857752552113,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
