Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211659052989144,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Convert Binary Number in a Linked List to Integer,90.3,0.008237047085154192,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
HARD,Sliding Window Maximum,84.0,0.004889044765059099,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,LRU Cache,84.0,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,84.0,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Rotate Image,84.0,0.008027330995608045,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Increasing Triplet Subsequence,84.0,0.0039443076081007115,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
MEDIUM,Binary Tree Zigzag Level Order Traversal,75.7,0.006392136657841571,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Decode String,75.7,0.00627820404788619,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Search a 2D Matrix,75.7,0.005416874158858576,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Task Scheduler,75.7,0.006329008718225352,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Spiral Matrix,75.7,0.0057073827318806,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Binary Tree Maximum Path Sum,75.7,0.004242999220842612,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Maximum Frequency Stack,75.7,0.006688425694072681,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
HARD,Valid Number,75.7,0.0023127728739611494,https://leetcode.com/problems/valid-number,String
MEDIUM,Search in Rotated Sorted Array,75.7,0.004509750715461555,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Reverse Linked List II,75.7,0.005174346710599769,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
HARD,Longest Increasing Path in a Matrix,75.7,0.005674732424627451,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
MEDIUM,Best Sightseeing Pair,75.7,0.006270385211667329,https://leetcode.com/problems/best-sightseeing-pair,"Array, Dynamic Programming"
HARD,First Missing Positive,64.2,0.004311805478886558,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Broken Calculator,64.2,0.005621759792626729,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
MEDIUM,Maximum Sum of an Hourglass,64.2,0.0076395116230944336,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
MEDIUM,Swap For Longest Repeated Character Substring,64.2,0.004462569878928575,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,"Hash Table, String, Sliding Window"
HARD,Online Majority Element In Subarray,64.2,0.004047428475699421,https://leetcode.com/problems/online-majority-element-in-subarray,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
MEDIUM,Partitioning Into Minimum Number Of Deci-Binary Numbers,64.2,0.009046461152209744,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,"String, Greedy"
MEDIUM,Minimum Processing Time,64.2,0.007048476917927026,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
MEDIUM,Grumpy Bookstore Owner,64.2,0.006407983720875135,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
MEDIUM,Car Fleet,64.2,0.005526919587484277,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Check If Word Is Valid After Substitutions,64.2,0.006123423284069018,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String, Stack"
HARD,Delivering Boxes from Storage to Ports,64.2,0.0039790377572925875,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,"Array, Dynamic Programming, Segment Tree, Queue, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
MEDIUM,Detect Cycles in 2D Grid,64.2,0.0063374246205493935,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
