Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,94.9,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Restore IP Addresses,88.7,0.0056300104634950535,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Merge k Sorted Lists,80.7,0.005981776437334198,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Special Binary String,80.7,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
EASY,Two Sum,80.7,0.00576889924326376,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,80.7,0.0044365517718025224,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Trapping Rain Water,69.4,0.006761518146154062,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Find the Duplicate Number,69.4,0.00645236654915622,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
HARD,Sliding Window Maximum,69.4,0.004889044765059099,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Merge Sorted Array,69.4,0.005509631584304395,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,House Robber,69.4,0.0053325284712888886,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Minimum Absolute Difference,69.4,0.0075152383228569,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Longest Consecutive Sequence,69.4,0.0047148689032301475,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Min Stack,69.4,0.0058311685196637385,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Count Primes,69.4,0.003617586077952603,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
EASY,Palindrome Linked List,69.4,0.005821424329608197,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Group Anagrams,69.4,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,69.4,0.006670461683417085,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Network Delay Time,69.4,0.006076967916092941,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Design Circular Queue,69.4,0.005487069777604857,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Rotate Image,69.4,0.008027330995608045,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Binary Subarrays With Sum,69.4,0.006914663517821729,https://leetcode.com/problems/binary-subarrays-with-sum,"Array, Hash Table, Sliding Window, Prefix Sum"
MEDIUM,Koko Eating Bananas,69.4,0.0050152838342237705,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
