Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
EASY,Best Time to Buy and Sell Stock,82.8,0.005696324969816136,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,81.1,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,79.3,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,77.3,0.00576889924326376,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Last Stone Weight,77.3,0.0066555158181264215,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Group Anagrams,75.2,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,75.2,0.0053473774122318254,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Merge k Sorted Lists,75.2,0.005981776437334198,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Maximize Greatness of an Array,75.2,0.006182975632681545,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Valid Parentheses,72.8,0.0044365517718025224,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,72.8,0.004509750715461555,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,72.8,0.006459357152042845,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Fizz Buzz,70.1,0.00756102663293535,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Reverse Bits,67.1,0.006866206317431042,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Missing Number,67.1,0.007219763012850329,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Dot Product of Two Sparse Vectors,67.1,0.008989857752552113,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Task Scheduler II,67.1,0.005485873208826021,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
HARD,Trapping Rain Water,63.7,0.006761518146154062,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Move Zeroes,63.7,0.006398869249815112,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Reverse Words in a String,63.7,0.005681691504422758,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Rotate List,63.7,0.004277469095921092,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Container With Most Water,63.7,0.006024273367549198,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Find The Original Array of Prefix Xor,63.7,0.008839120207756422,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
