Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,LRU Cache,87.5,0.004754634600166437,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,85.0,0.00392995594959462,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,82.1,0.005696324969816136,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,80.6,0.00576889924326376,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Merge k Sorted Lists,78.9,0.005981776437334198,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Valid Parentheses,77.1,0.0044365517718025224,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,77.1,0.007279892459528706,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Operations to Reduce an Integer to 0,77.1,0.006274142312579416,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Maximum Subarray,75.1,0.0053473774122318254,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Last Stone Weight,75.1,0.0066555158181264215,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Maximize Greatness of an Array,75.1,0.006182975632681545,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Number of Islands,73.0,0.006459357152042845,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Maximum Number of Visible Points,73.0,0.003825935400444157,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Search in Rotated Sorted Array,70.6,0.004509750715461555,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Fizz Buzz,70.6,0.00756102663293535,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,Restore IP Addresses,70.6,0.0056300104634950535,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Trapping Rain Water,67.9,0.006761518146154062,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Reverse Bits,67.9,0.006866206317431042,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
EASY,Missing Number,64.9,0.007219763012850329,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Dot Product of Two Sparse Vectors,64.9,0.008989857752552113,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Task Scheduler II,64.9,0.005485873208826021,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,Merge Intervals,61.4,0.005211659052989144,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Move Zeroes,61.4,0.006398869249815112,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Find the Duplicate Number,61.4,0.00645236654915622,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Reverse Words in a String,61.4,0.005681691504422758,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,4Sum,61.4,0.004090517458299706,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate List,61.4,0.004277469095921092,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Container With Most Water,61.4,0.006024273367549198,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Find The Original Array of Prefix Xor,61.4,0.008839120207756422,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
MEDIUM,Add Two Numbers,57.3,0.004870079344390697,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Fibonacci Number,57.3,0.007426413348733951,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Insert Delete GetRandom O(1),57.3,0.005540977836519641,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Reverse Linked List,57.3,0.008070842093015791,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Merge Sorted Array,57.3,0.005509631584304395,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Unique Paths II,57.3,0.004463814346944501,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Max Sum of a Pair With Equal Sum of Digits,57.3,0.006593401130771264,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,Top K Frequent Elements,57.3,0.006670461683417085,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Sliding Window Maximum,57.3,0.004889044765059099,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Rotate Image,52.3,0.008027330995608045,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Copy List with Random Pointer,52.3,0.0063142670163016555,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,House Robber,52.3,0.0053325284712888886,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Break a Palindrome,52.3,0.005160533366339952,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
MEDIUM,String to Integer (atoi),52.3,0.0021184256055070154,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Rectangle Area,52.3,0.004981006631525251,https://leetcode.com/problems/rectangle-area,"Math, Geometry"
HARD,Serialize and Deserialize Binary Tree,52.3,0.00609648865409846,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Remove Stones to Minimize the Total,52.3,0.0065838801577592036,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
MEDIUM,String Compression,52.3,0.00602120462198918,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Asteroid Collision,52.3,0.004821263960875214,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Jump Game,52.3,0.004106528066517647,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Power of Two,52.3,0.005021371579608612,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
MEDIUM,Subarray Sum Equals K,52.3,0.004756673763795055,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Valid Anagram,52.3,0.006826517524251698,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Product of Array Except Self,52.3,0.0069001601286593295,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Maximum Number of Events That Can Be Attended,52.3,0.003900872843226007,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
EASY,Minimum Absolute Difference,52.3,0.0075152383228569,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,3Sum,45.8,0.003930111735152694,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Generate Parentheses,45.8,0.007881147920590324,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Climbing Stairs,45.8,0.005415757258952246,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Set Matrix Zeroes,45.8,0.006317514434530966,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Reverse Linked List II,45.8,0.005174346710599769,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Find Peak Element,45.8,0.004703003622419267,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximal Square,45.8,0.005047484208466422,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Find Median from Data Stream,45.8,0.005463226547402517,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Counting Bits,45.8,0.008068472818259419,https://leetcode.com/problems/counting-bits,"Dynamic Programming, Bit Manipulation"
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,45.8,0.00431501480512274,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window"
MEDIUM,Spiral Matrix,45.8,0.0057073827318806,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Remove Duplicates from Sorted List,45.8,0.005693850343594598,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
MEDIUM,Course Schedule II,45.8,0.005574063519942709,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Count the Number of Good Subsequences,45.8,0.004847957288765088,https://leetcode.com/problems/count-the-number-of-good-subsequences,"Hash Table, Math, String, Combinatorics, Counting"
MEDIUM,Sort Colors,45.8,0.0069875333589558995,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Path Sum,45.8,0.006841341743552612,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
EASY,Linked List Cycle,45.8,0.005455018994070554,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,First Unique Character in a String,45.8,0.006571206278766355,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Rotting Oranges,45.8,0.005886903743348583,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Find the Celebrity,45.8,0.004902742134600277,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph Theory, Interactive"
MEDIUM,Course Schedule,45.8,0.0051649380218046015,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Longest Increasing Subsequence,45.8,0.005957461688477769,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Min Stack,45.8,0.0058311685196637385,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Consecutive Sequence,45.8,0.0047148689032301475,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Palindrome Linked List,45.8,0.005821424329608197,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Minimum Knight Moves,36.9,0.004199291637871459,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
HARD,Max Points on a Line,36.9,0.0030936146905359047,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
MEDIUM,Kth Largest Element in an Array,36.9,0.006903925509678337,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,H-Index,36.9,0.0041554933230920745,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
MEDIUM,Linked List Random Node,36.9,0.006492864789305589,https://leetcode.com/problems/linked-list-random-node,"Linked List, Math, Reservoir Sampling, Randomized"
HARD,Sliding Puzzle,36.9,0.007447651697451167,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
MEDIUM,All Possible Full Binary Trees,36.9,0.008274755868885266,https://leetcode.com/problems/all-possible-full-binary-trees,"Dynamic Programming, Tree, Recursion, Memoization, Binary Tree"
EASY,Longest Common Prefix,36.9,0.004778169631297497,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Minimum Size Subarray Sum,36.9,0.0051998959206930595,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
