Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754634012221237,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),91.3,0.005540977404753059,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Simple Bank System,91.3,0.006966624704013428,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,All Nodes Distance K in Binary Tree,85.5,0.006777218094812053,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Group Anagrams,85.5,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,78.1,0.0052116596058579216,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Find Median from Data Stream,78.1,0.005463232495301008,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Longest Consecutive Sequence,78.1,0.004714864588548312,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Container With Most Water,78.1,0.006024271158698765,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Daily Temperatures,67.7,0.006882778122241109,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Median of Two Sorted Arrays,67.7,0.004684301505757841,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Number of Islands,67.7,0.006459359294752796,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Making File Names Unique,67.7,0.0038720690481898823,https://leetcode.com/problems/making-file-names-unique,"Array, Hash Table, String"
MEDIUM,Range Sum Query 2D - Immutable,67.7,0.0058483207037164555,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,67.7,0.007201377217077725,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
HARD,Word Ladder II,67.7,0.0027787091415679504,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
HARD,Word Ladder,67.7,0.004584416043360673,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Task Scheduler,67.7,0.006329015732134647,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,67.7,0.00366941960038059,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Product of Array Except Self,67.7,0.006900161401140061,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
