Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Add Two Numbers,95.8,0.004870082512204222,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Trapping Rain Water,90.7,0.0067615198893620386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Two Sum,76.7,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Validate Binary Search Tree,76.7,0.003591163121713564,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Group Anagrams,76.7,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Binary Tree Maximum Path Sum,76.7,0.0042430020546941035,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Palindromic Substring,65.6,0.003804650388317793,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Climbing Stairs,65.6,0.005415758506904319,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,House Robber,65.6,0.005332522727986405,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Number of Islands,65.6,0.006459359294752796,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Decode String,65.6,0.006278207856220835,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Container With Most Water,65.6,0.006024271158698765,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Alien Dictionary,65.6,0.0037248142397902713,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,3Sum,65.6,0.003930113727666596,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Find Pivot Index,65.6,0.006300741776649097,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Find Minimum in Rotated Sorted Array,65.6,0.005486469983486448,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
EASY,Excel Sheet Column Title,65.6,0.0046775836950020706,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
HARD,First Missing Positive,65.6,0.004311805478886558,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Delete Node in a Linked List,65.6,0.00840482310278553,https://leetcode.com/problems/delete-node-in-a-linked-list,Linked List
EASY,Best Time to Buy and Sell Stock,65.6,0.005696328872087197,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,All Nodes Distance K in Binary Tree,65.6,0.006777218094812053,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Unique Paths,65.6,0.006695968018959924,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Word Ladder,65.6,0.004584416043360673,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
