Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design SQL,100.0,0.006401187014777734,https://leetcode.com/problems/design-sql,"Array, Hash Table, String, Design"
MEDIUM,Encode and Decode Strings,89.3,0.005168986215505564,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
MEDIUM,Flatten Nested List Iterator,85.9,0.0065744443055655,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Design Memory Allocator,81.9,0.005030349013657056,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Time Based Key-Value Store,76.8,0.0049990547554394525,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Design Excel Sum Formula,70.0,0.003961508596783139,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
MEDIUM,IP to CIDR,70.0,0.005372618356468043,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Simplify Path,59.6,0.005080344252151576,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Web Crawler Multithreaded,51.4,0.005124413701615578,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
EASY,Largest Local Values in a Matrix,51.4,0.008763501510613192,https://leetcode.com/problems/largest-local-values-in-a-matrix,"Array, Matrix"
MEDIUM,Asteroid Collision,51.4,0.0048212686711400846,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Design Spreadsheet,51.4,0.007401331344803753,https://leetcode.com/problems/design-spreadsheet,"Array, Hash Table, String, Design, Matrix"
HARD,Trapping Rain Water,51.4,0.0067615198893620386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
