Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design SQL,100.0,0.006401187014777734,https://leetcode.com/problems/design-sql,"Array, Hash Table, String, Design"
MEDIUM,Design Memory Allocator,90.6,0.005030349013657056,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Encode and Decode Strings,89.1,0.005168986215505564,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
MEDIUM,Flatten Nested List Iterator,85.6,0.0065744443055655,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Time Based Key-Value Store,79.0,0.0049990547554394525,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,IP to CIDR,79.0,0.005372618356468043,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Rotting Oranges,76.2,0.005886913636412055,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Design Excel Sum Formula,69.2,0.003961508596783139,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
MEDIUM,Simplify Path,64.6,0.005080344252151576,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Web Crawler Multithreaded,50.2,0.005124413701615578,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
EASY,Largest Local Values in a Matrix,50.2,0.008763501510613192,https://leetcode.com/problems/largest-local-values-in-a-matrix,"Array, Matrix"
MEDIUM,Asteroid Collision,50.2,0.0048212686711400846,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Trapping Rain Water,50.2,0.0067615198893620386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Design Spreadsheet,50.2,0.007401331344803753,https://leetcode.com/problems/design-spreadsheet,"Array, Hash Table, String, Design, Matrix"
MEDIUM,Design Hit Counter,50.2,0.006972127433714702,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Design Authentication Manager,50.2,0.005866792218382324,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snapshot Array,50.2,0.003675117019767636,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
