Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754634012221237,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,78.5,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Diameter of Binary Tree,73.0,0.006572748058641454,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Minimum Window Substring,73.0,0.0047800660794606485,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,65.9,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,65.9,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Islands,65.9,0.006459359294752796,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Remove All Adjacent Duplicates in String II,65.9,0.006146398759293892,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Container With Most Water,65.9,0.006024271158698765,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,LFU Cache,65.9,0.004951381633506962,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Koko Eating Bananas,65.9,0.005015285330189705,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Asteroid Collision,65.9,0.0048212686711400846,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Longest Mountain in Array,65.9,0.004226046486899872,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Max Area of Island,65.9,0.007406423972856948,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Find Leaves of Binary Tree,65.9,0.008134023396277253,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Merge In Between Linked Lists,65.9,0.008303352962525025,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
MEDIUM,Open the Lock,65.9,0.006136955375509628,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Sum Root to Leaf Numbers,65.9,0.007006493691819155,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Substring Without Repeating Characters,56.0,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Meeting Rooms II,56.0,0.005272296104570236,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Trapping Rain Water,56.0,0.0067615198893620386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,56.0,0.003804650388317793,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Diagonal Traverse,56.0,0.00672369276625232,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Course Schedule,56.0,0.005164932894740918,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Invalid Transactions,56.0,0.003235064503626599,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Smallest Element in a Sorted Matrix,56.0,0.006475046257372392,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Binary Tree Level Order Traversal II,56.0,0.006843220458465696,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Time Based Key-Value Store,56.0,0.0049990547554394525,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Best Time to Buy and Sell Stock,56.0,0.005696328872087197,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
