Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754634012221237,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,89.2,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,84.8,0.006459359294752796,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,82.6,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Group Anagrams,81.9,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Sliding Window Maximum,79.3,0.004889047781747586,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Top K Frequent Elements,79.3,0.006670462283724004,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Merge k Sorted Lists,75.4,0.005981775266903253,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Valid Parentheses,73.2,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Spiral Matrix,72.0,0.005707384398225192,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Merge Intervals,72.0,0.0052116596058579216,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum One Bit Operations to Make Integers Zero,70.7,0.00783265837895426,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Math, Dynamic Programming, Bit Manipulation, Recursion, Memoization"
MEDIUM,Longest Palindromic Substring,69.3,0.003804650388317793,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
