Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Monotonic Array,100.0,0.006238907438205385,https://leetcode.com/problems/monotonic-array,Array
EASY,Valid Parentheses,89.9,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Decode String,89.9,0.006278207856220835,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Two Sum,82.8,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,82.8,0.0052116596058579216,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Department Top Three Salaries,82.8,0.006080121066960077,https://leetcode.com/problems/department-top-three-salaries,Database
EASY,Squares of a Sorted Array,72.8,0.007385813583772728,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,72.8,0.005696328872087197,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Anagram,72.8,0.006826516976142911,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,72.8,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Min Stack,72.8,0.005831169218517995,https://leetcode.com/problems/min-stack,"Stack, Design"
