Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754634012221237,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,String Compression,76.5,0.00602120462198918,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Longest Substring Without Repeating Characters,71.4,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find the Longest Equal Subarray,71.4,0.003830318680390477,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,71.4,0.004842712392829306,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
HARD,Median of Two Sorted Arrays,64.8,0.004684301505757841,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Min Stack,64.8,0.005831169218517995,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Binary Tree Level Order Traversal,64.8,0.007290327379526142,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Insert Delete GetRandom O(1),64.8,0.005540977404753059,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Restore IP Addresses,64.8,0.0056300104634950535,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Top K Frequent Words,64.8,0.006029222026188504,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Two Sum,55.6,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Two Sorted Lists,55.6,0.0068452160399104945,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Integer to Roman,55.6,0.007117965723760381,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Sliding Window Maximum,55.6,0.004889047781747586,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Search in Rotated Sorted Array,55.6,0.00450975075341416,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Basic Calculator,55.6,0.004696590014761332,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Invert Binary Tree,55.6,0.008017340049997075,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Longest Common Prefix,55.6,0.004778171353579319,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Design HashMap,55.6,0.006665995624005699,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Word Break,55.6,0.004958113613372227,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Meeting Rooms,55.6,0.005947149391401098,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
EASY,Path Sum,55.6,0.005515071352234865,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Path Sum II,55.6,0.006239920875818531,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Decode String,55.6,0.006278207856220835,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Valid Parentheses,55.6,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Basic Calculator II,55.6,0.004697267805484128,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Subarray Sum Equals K,55.6,0.004756672164172185,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Multiply Strings,55.6,0.004433663682506664,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Group Anagrams,55.6,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Advantage Shuffle,55.6,0.00546751737108824,https://leetcode.com/problems/advantage-shuffle,"Array, Two Pointers, Greedy, Sorting"
HARD,Reconstruct Itinerary,55.6,0.004467737685132036,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
EASY,Logger Rate Limiter,55.6,0.007685429606125137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Reverse Linked List II,55.6,0.005174348562071341,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Linked List Cycle,55.6,0.005455021753567991,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
