Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754634012221237,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Longest Equal Subarray,93.4,0.003830318680390477,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
EASY,Logger Rate Limiter,80.9,0.007685429606125137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,String Compression,77.4,0.00602120462198918,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Longest Substring Without Repeating Characters,73.2,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,68.0,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Binary Tree Level Order Traversal,68.0,0.007290327379526142,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Min Stack,68.0,0.005831169218517995,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Design HashMap,68.0,0.006665995624005699,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Search in Rotated Sorted Array,68.0,0.00450975075341416,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Number of Food Buckets to Feed the Hamsters,68.0,0.004842712392829306,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
MEDIUM,Decode String,68.0,0.006278207856220835,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Add Two Numbers,68.0,0.004870082512204222,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Median of Two Sorted Arrays,61.4,0.004684301505757841,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Integer to Roman,61.4,0.007117965723760381,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Top K Frequent Words,61.4,0.006029222026188504,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Insert Delete GetRandom O(1),61.4,0.005540977404753059,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Restore IP Addresses,61.4,0.0056300104634950535,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Longest Common Prefix,61.4,0.004778171353579319,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Linked List Cycle,61.4,0.005455021753567991,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Subarray Sum Equals K,61.4,0.004756672164172185,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Merge Sorted Array,61.4,0.005509631912346365,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,61.4,0.0052116596058579216,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Meeting Rooms,52.1,0.005947149391401098,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
MEDIUM,Word Break,52.1,0.004958113613372227,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Two Sum,52.1,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Two Sorted Lists,52.1,0.0068452160399104945,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Sliding Window Maximum,52.1,0.004889047781747586,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Basic Calculator,52.1,0.004696590014761332,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Invert Binary Tree,52.1,0.008017340049997075,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Valid Parentheses,52.1,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Basic Calculator II,52.1,0.004697267805484128,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Multiply Strings,52.1,0.004433663682506664,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
EASY,Path Sum,52.1,0.005515071352234865,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Path Sum II,52.1,0.006239920875818531,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Advantage Shuffle,52.1,0.00546751737108824,https://leetcode.com/problems/advantage-shuffle,"Array, Two Pointers, Greedy, Sorting"
HARD,Reconstruct Itinerary,52.1,0.004467737685132036,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
MEDIUM,Reverse Linked List II,52.1,0.005174348562071341,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Koko Eating Bananas,52.1,0.005015285330189705,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Maximum Length of a Concatenated String with Unique Characters,52.1,0.005481094569800484,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,"Array, String, Backtracking, Bit Manipulation"
MEDIUM,Longest Palindromic Substring,52.1,0.003804650388317793,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Binary Tree Zigzag Level Order Traversal,52.1,0.0063921369461117875,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Design Twitter,52.1,0.004495985491092513,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
HARD,Maximum Profit in Job Scheduling,52.1,0.005477633241008586,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Remove Zero Sum Consecutive Nodes from Linked List,52.1,0.005318853883316631,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,"Hash Table, Linked List"
EASY,Diameter of Binary Tree,52.1,0.006572748058641454,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
