Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Zigzag Conversion,100.0,0.005438156474244479,https://leetcode.com/problems/zigzag-conversion,String
EASY,Minimum Absolute Difference,90.3,0.00751522576245805,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Longest Increasing Subsequence,84.2,0.005957462585996094,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,LRU Cache,82.4,0.004754634012221237,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Find Words That Can Be Formed by Characters,80.4,0.00716410364261694,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
MEDIUM,Number of Islands,78.2,0.006459359294752796,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Word Search,78.2,0.004758753803837536,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Maximal Square,75.9,0.005047481509720062,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Product of Array Except Self,73.2,0.006900161401140061,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Coin Change,73.2,0.004863054748010063,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Two Sum,70.1,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,70.1,0.0052116596058579216,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,66.6,0.007279893128144464,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Find the Smallest Divisor Given a Threshold,66.6,0.006619225201083507,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Last Stone Weight,66.6,0.0066555158181264215,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Longest Substring Without Repeating Characters,62.5,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,62.5,0.00450975075341416,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,62.5,0.005347333517546283,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
EASY,Best Time to Buy and Sell Stock,62.5,0.005696328872087197,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Count Vowel Strings in Ranges,62.5,0.006785865048479651,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Maximum Subarray,62.5,0.005347376263422048,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Find Median from Data Stream,62.5,0.005463232495301008,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Maximum Number of Events That Can Be Attended,62.5,0.003900872843226007,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,House Robber,57.4,0.005332522727986405,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Random Pick with Weight,57.4,0.004912305161308312,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Longest Consecutive Sequence,57.4,0.004714864588548312,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,3Sum Smaller,57.4,0.005136724793190614,https://leetcode.com/problems/3sum-smaller,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Asteroid Collision,57.4,0.0048212686711400846,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Smallest String With Swaps,57.4,0.006073327443578829,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,Subarray Sum Equals K,50.9,0.004756672164172185,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Loud and Rich,50.9,0.0063713747526208285,https://leetcode.com/problems/loud-and-rich,"Array, Depth-First Search, Graph Theory, Topological Sort"
EASY,Count Vowel Substrings of a String,50.9,0.007324854178684907,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Koko Eating Bananas,50.9,0.005015285330189705,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Time Needed to Rearrange a Binary String,50.9,0.005331520210072212,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
HARD,Maximum Frequency Score of a Subarray,50.9,0.003605861117009981,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray,"Array, Hash Table, Math, Stack, Sliding Window"
MEDIUM,Meeting Scheduler,50.9,0.005521452608693391,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Number of Integers to Choose From a Range I,50.9,0.0068009556993529115,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i,"Array, Hash Table, Binary Search, Greedy, Sorting"
MEDIUM,Minimum Increment to Make Array Unique,50.9,0.006070127626223493,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
MEDIUM,Spiral Matrix,50.9,0.005707384398225192,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Degree of an Array,50.9,0.0058448349005119585,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Find Peak Element,50.9,0.004703005626799762,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Palindromic Substrings,50.9,0.0072921458967226856,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Valid Sudoku,50.9,0.006467043538689921,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Reaching Points,50.9,0.0034451653280483992,https://leetcode.com/problems/reaching-points,Math
MEDIUM,Subsets,50.9,0.008247535727481855,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Container With Most Water,50.9,0.006024271158698765,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Top K Frequent Words,50.9,0.006029222026188504,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Valid Parentheses,41.9,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Find First and Last Position of Element in Sorted Array,41.9,0.004912168085698502,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Sort Colors,41.9,0.006987533207759,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Top K Frequent Elements,41.9,0.006670462283724004,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Minimum Replacements to Sort the Array,41.9,0.005312808727395024,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
EASY,Count the Number of Vowel Strings in Range,41.9,0.007437684679214733,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
MEDIUM,Maximum Number of Integers to Choose From a Range II,41.9,0.003493975903614458,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii,"Array, Binary Search, Greedy, Sorting"
HARD,Paint House III,41.9,0.006124705470955065,https://leetcode.com/problems/paint-house-iii,"Array, Dynamic Programming"
MEDIUM,Minimum Non-Zero Product of the Array Elements,41.9,0.0037558926696306893,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,"Math, Greedy, Recursion"
MEDIUM,Smallest Greater Multiple Made of Two Digits,41.9,0.004802713801106946,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,"Math, Enumeration"
HARD,Number of Valid Move Combinations On Chessboard,41.9,0.004899801258694932,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,"Array, String, Backtracking, Simulation"
HARD,Count Array Pairs Divisible by K,41.9,0.003079641485275288,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Hash Table, Math, Counting, Number Theory"
MEDIUM,Maximum Sum Obtained of Any Permutation,41.9,0.004103517533383998,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,"Array, Greedy, Sorting, Prefix Sum"
HARD,Text Justification,41.9,0.005138916300211547,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,41.9,0.008027334700372417,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Kth Largest Element in an Array,41.9,0.006903926666030489,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Minimum Number of Removals to Make Mountain Array,41.9,0.0054790642815018675,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array,"Array, Binary Search, Dynamic Programming, Greedy"
