Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Min Stack,100.0,0.005831169218517995,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Linked List Cycle II,95.0,0.005831171268582506,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Number of Divisible Substrings,95.0,0.007461599054745963,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
EASY,Valid Parentheses,81.0,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,81.0,0.00450975075341416,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Trapping Rain Water,81.0,0.0067615198893620386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Container With Most Water,70.0,0.006024271158698765,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Minimize Maximum of Array,70.0,0.004654633935429862,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Find Indices With Index and Value Difference II,70.0,0.0032785760357912364,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,"Array, Two Pointers"
EASY,Number of Unequal Triplets in Array,70.0,0.007344573234984195,https://leetcode.com/problems/number-of-unequal-triplets-in-array,"Array, Hash Table, Sorting"
EASY,Remove All Adjacent Duplicates In String,70.0,0.007345613550614637,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Longest Nice Subarray,70.0,0.006481286098088909,https://leetcode.com/problems/longest-nice-subarray,"Array, Bit Manipulation, Sliding Window"
EASY,Find Indices With Index and Value Difference I,70.0,0.0060324044491135344,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,"Array, Two Pointers"
EASY,Two Sum,70.0,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,70.0,0.003804650388317793,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,70.0,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,70.0,0.00602120462198918,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Reverse Linked List,70.0,0.008070843060504467,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Remove Duplicate Letters,70.0,0.005343348965272848,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
HARD,Burst Balloons,70.0,0.0063759400584693805,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Car Pooling,70.0,0.005641420544154094,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
