Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Indices With Index and Value Difference I,100.0,0.0060324044491135344,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,"Array, Two Pointers"
MEDIUM,Find Indices With Index and Value Difference II,100.0,0.0032785760357912364,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,"Array, Two Pointers"
EASY,Remove All Adjacent Duplicates In String,100.0,0.007345613550614637,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Longest Nice Subarray,100.0,0.006481286098088909,https://leetcode.com/problems/longest-nice-subarray,"Array, Bit Manipulation, Sliding Window"
MEDIUM,Minimize Maximum of Array,100.0,0.004654633935429862,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Number of Unequal Triplets in Array,100.0,0.007344573234984195,https://leetcode.com/problems/number-of-unequal-triplets-in-array,"Array, Hash Table, Sorting"
MEDIUM,Min Stack,97.3,0.005831169218517995,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Maximum Transactions Without Negative Balance,94.3,0.0046185935637663884,https://leetcode.com/problems/maximum-transactions-without-negative-balance,"Array, Greedy, Heap (Priority Queue)"
HARD,Lexicographically Smallest String After Deleting Duplicate Characters,94.3,0.002057515878616796,https://leetcode.com/problems/lexicographically-smallest-string-after-deleting-duplicate-characters,"Hash Table, String, Stack, Greedy, Monotonic Stack"
MEDIUM,Linked List Cycle II,82.2,0.005831171268582506,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
MEDIUM,Number of Divisible Substrings,82.2,0.007461599054745963,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
HARD,Trapping Rain Water,69.1,0.0067615198893620386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Reverse Linked List,69.1,0.008070843060504467,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Valid Parentheses,69.1,0.004436554266008816,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,69.1,0.00450975075341416,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,69.1,0.003929958114427928,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Consecutive Sequence,69.1,0.004714864588548312,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,String Compression,69.1,0.00602120462198918,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Container With Most Water,58.7,0.006024271158698765,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Two Sum,58.7,0.005768899462694785,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,58.7,0.003804650388317793,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Search a 2D Matrix,58.7,0.005416873398436816,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Remove Duplicate Letters,58.7,0.005343348965272848,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
HARD,Burst Balloons,58.7,0.0063759400584693805,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Car Pooling,58.7,0.005641420544154094,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
MEDIUM,Execute Asynchronous Functions in Parallel,58.7,0.007864640234542464,https://leetcode.com/problems/execute-asynchronous-functions-in-parallel,
MEDIUM,Ugly Number II,58.7,0.004965495617109361,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
MEDIUM,Find the Duplicate Number,58.7,0.006452367419780427,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
EASY,Best Time to Buy and Sell Stock,58.7,0.005696328872087197,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
