Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Reverse Linked List,100.0,0.008070844511735661,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Number of Islands,94.6,0.006459359924522571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Reverse Nodes in k-Group,94.6,0.006642206560247365,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Remove Nth Node From End of List,88.0,0.005188579984451703,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Reverse Bits,88.0,0.006866211016575546,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Longest Substring Without Repeating Characters,88.0,0.00392995905210224,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,88.0,0.005768899991130365,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,88.0,0.003930115812647461,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,79.5,0.008027336288124316,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,String Compression III,79.5,0.0067092557508374685,https://leetcode.com/problems/string-compression-iii,String
EASY,Middle of the Linked List,79.5,0.008201274425142345,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Power of Two,79.5,0.005021373765895291,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Valid Parentheses,79.5,0.00443655630815049,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,"Pow(x, n)",79.5,0.0038842169713304508,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Rectangle Overlap,79.5,0.004679201872745722,https://leetcode.com/problems/rectangle-overlap,"Math, Geometry"
MEDIUM,LRU Cache,79.5,0.004754635039660335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Circular Queue,79.5,0.005487069777604857,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Linked List Cycle,79.5,0.005455022344481811,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
HARD,Count Array Pairs Divisible by K,79.5,0.003079641485275288,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Hash Table, Math, Counting, Number Theory"
EASY,Reverse String,79.5,0.008093591091909833,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Move Zeroes,79.5,0.00639887157448733,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Climbing Stairs,67.6,0.005415759195816442,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Swap Nodes in Pairs,67.6,0.006972757394852635,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Design Memory Allocator,67.6,0.0050303986263215165,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
HARD,Maximum Number of Ones,67.6,0.007067342505430847,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
EASY,Is Subsequence,67.6,0.004912547912785661,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,67.6,0.0063080511515575,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Length of Last Word,67.6,0.005905939176866581,https://leetcode.com/problems/length-of-last-word,String
HARD,Serialize and Deserialize Binary Tree,67.6,0.006096486472775958,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Merge Intervals,67.6,0.005211661318079231,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Palindrome Number,67.6,0.006069184257773654,https://leetcode.com/problems/palindrome-number,Math
HARD,Trapping Rain Water II,67.6,0.006409754170345743,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,String to Integer (atoi),67.6,0.0021184265319081964,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Implement Queue using Stacks,67.6,0.006999283935342048,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
