Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression III,100.0,0.0067092557508374685,https://leetcode.com/problems/string-compression-iii,String
HARD,Maximum Number of Ones,97.5,0.007067342505430847,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
HARD,Reverse Nodes in k-Group,91.7,0.006642206560247365,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Number of Islands,88.2,0.006459359924522571,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,84.2,0.004754635039660335,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Reverse Linked List,84.2,0.008070844511735661,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Two Sum,84.2,0.005768899991130365,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,84.2,0.00392995905210224,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,79.4,0.00443655630815049,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Palindrome Number,73.6,0.006069184257773654,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Rotate Image,73.6,0.008027336288124316,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Power of Two,73.6,0.005021373765895291,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
EASY,Reverse Bits,73.6,0.006866211016575546,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Remove Nth Node From End of List,73.6,0.005188579984451703,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
EASY,Rectangle Overlap,73.6,0.004679201872745722,https://leetcode.com/problems/rectangle-overlap,"Math, Geometry"
EASY,Linked List Cycle,73.6,0.005455022344481811,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Reverse String,73.6,0.008093591091909833,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,3Sum,73.6,0.003930115812647461,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Climbing Stairs,66.1,0.005415759195816442,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Middle of the Linked List,66.1,0.008201274425142345,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Implement Queue using Stacks,66.1,0.006999283935342048,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,"Pow(x, n)",66.1,0.0038842169713304508,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,String to Integer (atoi),66.1,0.0021184265319081964,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Majority Element,66.1,0.006637446943241869,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Design Circular Queue,66.1,0.005487069777604857,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Count the Number of Fair Pairs,66.1,0.00526198224819739,https://leetcode.com/problems/count-the-number-of-fair-pairs,"Array, Two Pointers, Binary Search, Sorting"
HARD,Trapping Rain Water,66.1,0.0067615203301683805,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Count Array Pairs Divisible by K,66.1,0.003079641485275288,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Hash Table, Math, Counting, Number Theory"
EASY,Move Zeroes,66.1,0.00639887157448733,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Swap Nodes in Pairs,55.7,0.006972757394852635,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
HARD,Serialize and Deserialize Binary Tree,55.7,0.006096486472775958,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Design Memory Allocator,55.7,0.0050303986263215165,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
EASY,Length of Last Word,55.7,0.005905939176866581,https://leetcode.com/problems/length-of-last-word,String
EASY,Remove Duplicates from Sorted Array,55.7,0.0063080511515575,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
HARD,Trapping Rain Water II,55.7,0.006409754170345743,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
EASY,Maximum Depth of Binary Tree,55.7,0.007830405607447,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Reverse Integer,55.7,0.003204567686596811,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Course Schedule II,55.7,0.00557406632733482,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Is Subsequence,55.7,0.004912547912785661,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Permutations,55.7,0.008205093820193621,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Power of Four,55.7,0.005218536213563355,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
EASY,Merge Sorted Array,55.7,0.005509631238057939,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Single Number,55.7,0.007786297470612688,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Kth Largest Element in an Array,55.7,0.006903922087118649,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Merge Intervals,55.7,0.005211661318079231,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Subarray Sum Equals K,55.7,0.004756673602063086,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Median of Two Sorted Arrays,55.7,0.004684291070562557,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Edit Distance,55.7,0.006080721352844327,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Find the Index of the First Occurrence in a String,55.7,0.0046827925856391716,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Generate Parentheses,55.7,0.00788115243222756,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
