Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Median of Two Sorted Arrays,100.0,0.0046842812745042095,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Design Spreadsheet,83.9,0.007401331344803753,https://leetcode.com/problems/design-spreadsheet,"Array, Hash Table, String, Design, Matrix"
HARD,Design Excel Sum Formula,76.6,0.003961508596783139,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
HARD,Merge k Sorted Lists,76.6,0.00598178038630684,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Evaluate Division,69.7,0.0064327329192546585,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
HARD,Number of Visible People in a Queue,65.1,0.00732512081769196,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
EASY,Merge Two Sorted Lists,65.1,0.0068452169900230465,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Optimal Account Balancing,59.3,0.005051129184234409,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Maximize Amount After Two Days of Conversions,59.3,0.006165075454265476,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Maximum Xor Product,59.3,0.003007706381327272,https://leetcode.com/problems/maximum-xor-product,"Math, Greedy, Bit Manipulation"
EASY,Last Stone Weight,51.0,0.006655513520153743,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Accounts Merge,51.0,0.006152847882760454,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
HARD,LFU Cache,51.0,0.004951394404343435,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,51.0,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Number of Taps to Open to Water a Garden,51.0,0.005101597223312864,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Synonymous Sentences,51.0,0.0057410795974382435,https://leetcode.com/problems/synonymous-sentences,"Array, Hash Table, String, Backtracking, Sort, Union-Find"
MEDIUM,Design Underground System,51.0,0.007451683047281107,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Top K Frequent Elements,51.0,0.006670462277543824,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Sentence Similarity II,51.0,0.005133681237009916,https://leetcode.com/problems/sentence-similarity-ii,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find"
HARD,Design a Text Editor,51.0,0.005100481628656336,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,Top K Frequent Words,51.0,0.006029227983371165,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Longest Substring Without Repeating Characters,51.0,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
