Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Median of Two Sorted Arrays,100.0,0.0046842812745042095,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Design Spreadsheet,79.7,0.007401331344803753,https://leetcode.com/problems/design-spreadsheet,"Array, Hash Table, String, Design, Matrix"
HARD,Design Excel Sum Formula,75.3,0.003961508596783139,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
HARD,Merge k Sorted Lists,75.3,0.00598178038630684,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Evaluate Division,66.0,0.0064327329192546585,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
EASY,Merge Two Sorted Lists,66.0,0.0068452169900230465,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Number of Visible People in a Queue,61.6,0.00732512081769196,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Synonymous Sentences,55.9,0.0057410795974382435,https://leetcode.com/problems/synonymous-sentences,"Array, Hash Table, String, Backtracking, Sort, Union-Find"
HARD,Optimal Account Balancing,55.9,0.005051129184234409,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Accounts Merge,55.9,0.006152847882760454,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
MEDIUM,Maximize Amount After Two Days of Conversions,55.9,0.006165075454265476,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Maximum Xor Product,55.9,0.003007706381327272,https://leetcode.com/problems/maximum-xor-product,"Math, Greedy, Bit Manipulation"
EASY,Last Stone Weight,48.0,0.006655513520153743,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
HARD,LFU Cache,48.0,0.004951394404343435,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Number of Taps to Open to Water a Garden,48.0,0.005101597223312864,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Design Underground System,48.0,0.007451683047281107,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Top K Frequent Elements,48.0,0.006670462277543824,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Sentence Similarity II,48.0,0.005133681237009916,https://leetcode.com/problems/sentence-similarity-ii,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find"
MEDIUM,Top K Frequent Words,48.0,0.006029227983371165,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,LRU Cache,48.0,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,48.0,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Design a Text Editor,48.0,0.005100481628656336,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,48.0,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
