Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Candy Crush,100.0,0.007761216251985177,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Reorganize String,96.8,0.00572398674188445,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Number of Ways to Wear Different Hats to Each Other,92.1,0.0046266317501884695,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
HARD,Text Justification,91.2,0.0051389121242141214,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Task Scheduler,88.3,0.006329015732134647,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximize Distance to Closest Person,86.1,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Course Schedule II,84.9,0.005574067366896052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Design Hit Counter,75.8,0.006972113255202455,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Rotate Image,73.8,0.008027337875873657,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Integer to English Words,73.8,0.003506798222457669,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Design Search Autocomplete System,69.2,0.004999691346230161,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,69.2,0.006463220538371047,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Valid Parentheses,66.4,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Implement Trie (Prefix Tree),66.4,0.0069663566405191,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,66.4,0.0037826999176692427,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Number of Black Blocks,66.4,0.004195066171784202,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Course Schedule,63.2,0.005164933383743439,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Find the Length of the Longest Common Prefix,59.4,0.006227348089105884,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
HARD,Block Placement Queries,59.4,0.004145996457429696,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
HARD,Subarrays with K Different Integers,59.4,0.006840556359869145,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Number of Adjacent Elements With the Same Color,59.4,0.005985408977770148,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Rotating the Box,59.4,0.008248614502666429,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
