Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Candy Crush,100.0,0.007761216251985177,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Reorganize String,94.7,0.00572398674188445,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Number of Ways to Wear Different Hats to Each Other,92.6,0.0046266317501884695,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
HARD,Text Justification,89.4,0.0051389121242141214,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Task Scheduler,85.6,0.006329015732134647,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximize Distance to Closest Person,85.6,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Course Schedule II,83.4,0.005574067366896052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Design Hit Counter,76.7,0.006972113255202455,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Count Number of Nice Subarrays,73.2,0.007532581037887103,https://leetcode.com/problems/count-number-of-nice-subarrays,"Array, Hash Table, Math, Sliding Window, Prefix Sum"
MEDIUM,Group the People Given the Group Size They Belong To,73.2,0.00875148612092286,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,"Array, Hash Table, Greedy"
HARD,Integer to English Words,73.2,0.003506798222457669,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Design Search Autocomplete System,73.2,0.004999691346230161,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Rotate Image,71.2,0.008027337875873657,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Magnetic Force Between Two Balls,71.2,0.007227356919099001,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
MEDIUM,Subdomain Visit Count,71.2,0.007716876237047388,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
EASY,Convert Binary Number in a Linked List to Integer,71.2,0.00823704905503523,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
EASY,Students and Examinations,71.2,0.0061364806685304885,https://leetcode.com/problems/students-and-examinations,Database
MEDIUM,Maximum Number of Occurrences of a Substring,71.2,0.005459858156028369,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,Number of Trusted Contacts of a Customer,71.2,0.007473712192816635,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,Database
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,66.6,0.006463220538371047,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Valid Parentheses,63.8,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Implement Trie (Prefix Tree),63.8,0.0069663566405191,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,63.8,0.0037826999176692427,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Number of Black Blocks,63.8,0.004195066171784202,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
EASY,Logger Rate Limiter,63.8,0.007685429606125137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Find the Length of the Longest Common Prefix,60.7,0.006227348089105884,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Course Schedule,60.7,0.005164933383743439,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Brightest Position on Street,56.9,0.006069428501860934,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
HARD,Block Placement Queries,56.9,0.004145996457429696,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
HARD,Subarrays with K Different Integers,56.9,0.006840556359869145,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Number of Adjacent Elements With the Same Color,56.9,0.005985408977770148,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Rotating the Box,56.9,0.008248614502666429,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Merge Intervals,52.3,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Number of Flowers in Full Bloom,52.3,0.0057948351493592185,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
HARD,Largest Rectangle in Histogram,52.3,0.005018777578987958,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Spiral Matrix,52.3,0.00570738308311572,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Two Sum,52.3,0.005768897450886715,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,52.3,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Number of Recent Calls,52.3,0.007861917971129116,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
EASY,Longest Common Prefix,46.4,0.004778170375305726,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Design Browser History,46.4,0.00783599796243007,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
MEDIUM,Count the Number of Good Subarrays,46.4,0.006579734211059548,https://leetcode.com/problems/count-the-number-of-good-subarrays,"Array, Hash Table, Sliding Window"
HARD,Length of Longest V-Shaped Diagonal Segment,46.4,0.005617814133151556,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
MEDIUM,Minimum Number of Frogs Croaking,38.1,0.005120217752910933,https://leetcode.com/problems/minimum-number-of-frogs-croaking,"String, Counting"
HARD,Employee Free Time,38.1,0.007295167268389917,https://leetcode.com/problems/employee-free-time,"Array, Sweep Line, Sorting, Heap (Priority Queue)"
MEDIUM,Rotting Oranges,38.1,0.005886916462992876,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,38.1,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Image Smoother,38.1,0.0069375442128747885,https://leetcode.com/problems/image-smoother,"Array, Matrix"
MEDIUM,Longest Consecutive Sequence,38.1,0.004714869904313893,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Basic Calculator IV,38.1,0.004988315337967756,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
MEDIUM,Restore the Array From Adjacent Pairs,38.1,0.007507274883572935,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Count Nice Pairs in an Array,38.1,0.0048442691543114196,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
MEDIUM,Insert Delete GetRandom O(1),38.1,0.005540978752408332,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Random Pick with Weight,38.1,0.004912308707924108,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Design Memory Allocator,38.1,0.0050303986263215165,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
HARD,Sliding Window Maximum,38.1,0.004889043633305889,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
