Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.0033459727892622077,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
HARD,Maximize Subarray Sum After Removing All Occurrences of One Element,70.6,0.002329665564529243,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Array, Hash Table, Divide and Conquer, Dynamic Programming, Segment Tree, Prefix Sum"
HARD,Manhattan Distances of All Arrangements of Pieces,70.6,0.003561510568674272,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Math, Combinatorics"
MEDIUM,Count Lattice Points Inside a Circle,69.6,0.005687054844825524,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
HARD,Stamping the Grid,65.1,0.003548168937882528,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
MEDIUM,Alice and Bob Playing Flower Game,62.2,0.005998340759521989,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
MEDIUM,Candy Crush,62.2,0.007761216251985177,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
EASY,Distribute Candies Among Children I,60.6,0.0076528405394475415,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
MEDIUM,Distribute Candies Among Children II,60.6,0.005563860235400777,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
HARD,Distribute Candies Among Children III,60.6,0.0057182993069863275,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
HARD,Find the Sum of Subsequence Powers,60.6,0.00254061731388783,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
EASY,Existence of a Substring in a String and Its Reverse,60.6,0.006659745053930899,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
MEDIUM,Random Pick with Weight,60.6,0.004912308707924108,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,60.6,0.00392684635077042,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
HARD,Find X Value of Array II,60.6,0.003153675592699983,https://leetcode.com/problems/find-x-value-of-array-ii,"Array, Math, Segment Tree"
MEDIUM,Find X Value of Array I,60.6,0.0037654680919987043,https://leetcode.com/problems/find-x-value-of-array-i,"Array, Math, Dynamic Programming"
MEDIUM,LRU Cache,48.9,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Task Scheduler,45.1,0.006329015732134647,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Web Crawler Multithreaded,45.1,0.005124413701615578,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Remove Invalid Parentheses,45.1,0.004999965698145642,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
MEDIUM,Snapshot Array,45.1,0.0036750967419153934,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
HARD,Minimum Number of Moves to Make Palindrome,45.1,0.0052979725578537785,https://leetcode.com/problems/minimum-number-of-moves-to-make-palindrome,"Two Pointers, String, Greedy, Binary Indexed Tree"
MEDIUM,Next Permutation,40.3,0.00455181653772575,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Web Crawler,40.3,0.006878575283324338,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Task Scheduler II,40.3,0.005485813741470288,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,4Sum,33.5,0.004090508670048869,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Scramble String,33.5,0.004484499836665541,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),33.5,0.005540978752408332,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Cherry Pickup II,33.5,0.007249723105505734,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Design Memory Allocator,33.5,0.0050303986263215165,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Circular Queue,33.5,0.005487069777604857,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Special Binary String,33.5,0.007937528892289545,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Count Zero Request Servers,33.5,0.0036104662278425696,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
MEDIUM,Paint Fence,33.5,0.004845607110530768,https://leetcode.com/problems/paint-fence,Dynamic Programming
MEDIUM,Smallest String With Swaps,33.5,0.006073327443578829,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union-Find, Sorting"
