Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768897450886715,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Container With Most Water,86.7,0.006024272210152558,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,79.9,0.004778170375305726,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,75.6,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Islands,75.6,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Best Time to Buy and Sell Stock,75.6,0.0056963337872581125,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Maximum Subarray,70.3,0.00534737721656055,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,70.3,0.0038046533926825526,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Merge Intervals,70.3,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Palindrome Number,70.3,0.006069177315856186,https://leetcode.com/problems/palindrome-number,Math
EASY,Reverse Linked List,63.5,0.00807084543481,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Valid Palindrome,63.5,0.005358827309246167,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Kth Largest Element in an Array,63.5,0.006903923243470567,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Leftmost Column with at Least a One,63.5,0.0055251472310570105,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Longest Substring Without Repeating Characters,63.5,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Linked List Cycle,63.5,0.005455023230850136,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
EASY,Move Zeroes,63.5,0.0063988700772653175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,LRU Cache,63.5,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Perfect Square,54.0,0.004502215839340983,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
MEDIUM,Maximal Square,54.0,0.005047486754876596,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Trapping Rain Water,54.0,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Movie Rating,54.0,0.004365581250342309,https://leetcode.com/problems/movie-rating,Database
HARD,Maximum Path Quality of a Graph,54.0,0.006246493128307114,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph Theory"
HARD,Count the Number of Infection Sequences,54.0,0.00378687127024723,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
HARD,Count Increasing Quadruplets,54.0,0.0034490942819729374,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
HARD,Maximum Students Taking Exam,54.0,0.005399460700198338,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
MEDIUM,Coin Change,54.0,0.00486305416720974,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Binary Search Tree to Greater Sum Tree,54.0,0.008836955417893776,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Group Anagrams,54.0,0.007279892030134873,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Candy,54.0,0.004866105339399289,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Product of Array Except Self,54.0,0.006900165114910092,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Same Tree,54.0,0.006736096482544838,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,54.0,0.00450975435365841,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Count Primes,54.0,0.0036175866099417697,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Add Two Numbers,54.0,0.0048700887772995536,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Implement Queue using Stacks,54.0,0.006999283935342048,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
