Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768897450886715,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Maximum Path Quality of a Graph,91.8,0.006246493128307114,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph Theory"
HARD,Count the Number of Infection Sequences,91.8,0.00378687127024723,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
HARD,Maximum Students Taking Exam,91.8,0.005399460700198338,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
MEDIUM,Movie Rating,91.8,0.004365581250342309,https://leetcode.com/problems/movie-rating,Database
HARD,Count Increasing Quadruplets,91.8,0.0034490942819729374,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
MEDIUM,Container With Most Water,86.3,0.006024272210152558,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,79.3,0.004778170375305726,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,79.3,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,74.8,0.0056963337872581125,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Number of Islands,74.8,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Merge Intervals,74.8,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,69.3,0.00534737721656055,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,69.3,0.0038046533926825526,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,69.3,0.006069177315856186,https://leetcode.com/problems/palindrome-number,Math
EASY,Reverse Linked List,62.3,0.00807084543481,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Kth Largest Element in an Array,62.3,0.006903923243470567,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Valid Palindrome,62.3,0.005358827309246167,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,LRU Cache,62.3,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Leftmost Column with at Least a One,62.3,0.0055251472310570105,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Coin Change,62.3,0.00486305416720974,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Group Anagrams,62.3,0.007279892030134873,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Move Zeroes,62.3,0.0063988700772653175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,62.3,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Linked List Cycle,62.3,0.005455023230850136,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Search a 2D Matrix,62.3,0.005416876970141498,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Maximal Square,52.5,0.005047486754876596,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Valid Perfect Square,52.5,0.004502215839340983,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
HARD,Trapping Rain Water,52.5,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Binary Search Tree to Greater Sum Tree,52.5,0.008836955417893776,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
