Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.0051389121242141214,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,86.7,0.008027337875873657,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Number of Black Blocks,79.8,0.004195066171784202,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Restore the Array From Adjacent Pairs,79.8,0.007507274883572935,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Find the Length of the Longest Common Prefix,79.8,0.006227348089105884,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,79.8,0.0037826999176692427,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Spiral Matrix,70.1,0.00570738308311572,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Block Placement Queries,70.1,0.004145996457429696,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,Rotating the Box,70.1,0.008248614502666429,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Design Memory Allocator,70.1,0.0050303986263215165,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
