Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Time Needed to Rearrange a Binary String,100.0,0.005331520210072212,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,Minimum Operations to Reduce an Integer to 0,96.6,0.006274142312579416,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Maximum Palindromes After Operations,91.1,0.004701909498372936,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,String Compression,89.5,0.0060212023405973,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,LFU Cache,76.0,0.004951394404343435,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Removals to Balance Array,76.0,0.0047849522079720895,https://leetcode.com/problems/minimum-removals-to-balance-array,"Array, Binary Search, Sliding Window, Sorting"
EASY,Maximum Product of Three Numbers,68.7,0.0046034735585440715,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,LRU Cache,57.6,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Collect Coins in a Tree,57.6,0.004038878337615908,https://leetcode.com/problems/collect-coins-in-a-tree,"Array, Tree, Graph Theory, Topological Sort"
HARD,Strange Printer,57.6,0.006095591086716583,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
MEDIUM,Maximum Team Size with Overlapping Intervals,57.6,0.004519140989729225,https://leetcode.com/problems/maximum-team-size-with-overlapping-intervals,
MEDIUM,Course Schedule,48.8,0.005164933383743439,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,48.8,0.006903472729409441,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
HARD,Time Taken to Cross the Door,48.8,0.005026751057803266,https://leetcode.com/problems/time-taken-to-cross-the-door,"Array, Queue, Simulation"
HARD,Subarrays with K Different Integers,48.8,0.006840556359869145,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
MEDIUM,Course Schedule II,48.8,0.005574067366896052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Generate Parentheses,48.8,0.00788115412408657,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Group Anagrams,48.8,0.007279892030134873,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Remove Stones to Minimize the Total,48.8,0.0065838801577592036,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
HARD,Find Median from Data Stream,48.8,0.0054632404258080705,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Minimum Replacements to Sort the Array,48.8,0.005312808727395024,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
HARD,Minimum Difficulty of a Job Schedule,48.8,0.0059768831458865135,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,"Array, Dynamic Programming"
MEDIUM,Valid Parenthesis String,48.8,0.004022650269754171,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
HARD,Minimum Edge Reversals So Every Node Is Reachable,48.8,0.005980445928222249,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Subarray Sum Equals K,48.8,0.0047566736932170865,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
