Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Operations to Reduce an Integer to 0,100.0,0.006274142312579416,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,String Compression,85.0,0.0060212023405973,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Closest Equal Element Queries,82.4,0.005146547268824044,https://leetcode.com/problems/closest-equal-element-queries,"Array, Hash Table, Binary Search"
HARD,LFU Cache,79.3,0.004951394404343435,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Subarray Product Less Than K,75.7,0.00544900323530169,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Maximum Number of Occurrences of a Substring,72.9,0.005459858156028369,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
HARD,Minimize Malware Spread,71.3,0.004325070893541062,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Distinct Subsequences,69.6,0.005207545000465723,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Power Grid Maintenance,69.6,0.005614302741358761,https://leetcode.com/problems/power-grid-maintenance,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Heap (Priority Queue), Ordered Set"
MEDIUM,LRU Cache,67.8,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,65.8,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,65.8,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Smallest Substring With Identical Characters I,65.8,0.002072110626688421,https://leetcode.com/problems/smallest-substring-with-identical-characters-i,"Array, Binary Search, Enumeration"
HARD,Smallest Substring With Identical Characters II,65.8,0.004037963275881492,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii,"String, Binary Search"
EASY,Split a String in Balanced Strings,65.8,0.008746922278829923,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting"
MEDIUM,Minimum Time to Visit All Houses,65.8,0.0069109663409337675,https://leetcode.com/problems/minimum-time-to-visit-all-houses,"Array, Prefix Sum"
MEDIUM,Merge Intervals,63.6,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Palindromic Substrings,63.6,0.007292149170773052,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Remove Adjacent Almost-Equal Characters,63.6,0.005378901989300368,https://leetcode.com/problems/remove-adjacent-almost-equal-characters,"String, Dynamic Programming, Greedy"
MEDIUM,Delete and Earn,63.6,0.005730978581673227,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Group Anagrams,61.2,0.007279892030134873,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Binary Tree Maximum Path Sum,61.2,0.004242999615207504,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Course Schedule II,61.2,0.005574067366896052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Maximum Product of Three Numbers,61.2,0.0046034735585440715,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Longest Common Subsequence,61.2,0.005928444993906676,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,58.4,0.0056963337872581125,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Number of Divisible Triplet Sums,58.4,0.006759746391474437,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,K-diff Pairs in an Array,58.4,0.004604643191882348,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
