Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Operations to Reduce an Integer to 0,100.0,0.006274142312579416,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,String Compression,87.8,0.0060212023405973,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Time Needed to Rearrange a Binary String,80.8,0.005331520210072212,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
HARD,LFU Cache,80.0,0.004951394404343435,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Closest Equal Element Queries,76.6,0.005146547268824044,https://leetcode.com/problems/closest-equal-element-queries,"Array, Hash Table, Binary Search"
HARD,Smallest Substring With Identical Characters I,72.5,0.002072110626688421,https://leetcode.com/problems/smallest-substring-with-identical-characters-i,"Array, Binary Search, Enumeration"
HARD,Smallest Substring With Identical Characters II,72.5,0.004037963275881492,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii,"String, Binary Search"
MEDIUM,Remove Adjacent Almost-Equal Characters,71.3,0.005378901989300368,https://leetcode.com/problems/remove-adjacent-almost-equal-characters,"String, Dynamic Programming, Greedy"
MEDIUM,Subarray Product Less Than K,70.1,0.00544900323530169,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,LRU Cache,67.4,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Number of Occurrences of a Substring,67.4,0.005459858156028369,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Palindromes After Operations,67.4,0.004701909498372936,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
EASY,Maximum Product of Three Numbers,65.8,0.0046034735585440715,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
HARD,Minimize Malware Spread,65.8,0.004325070893541062,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Distinct Subsequences,64.2,0.005207545000465723,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Power Grid Maintenance,64.2,0.005614302741358761,https://leetcode.com/problems/power-grid-maintenance,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Heap (Priority Queue), Ordered Set"
MEDIUM,Longest Substring Without Repeating Characters,62.4,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Count the Number of Fair Pairs,62.4,0.00526198224819739,https://leetcode.com/problems/count-the-number-of-fair-pairs,"Array, Two Pointers, Binary Search, Sorting"
HARD,Maximum Frequency Stack,62.4,0.006688425694072681,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
MEDIUM,Minimize Maximum Component Cost,62.4,0.004366448855175797,https://leetcode.com/problems/minimize-maximum-component-cost,"Binary Search, Union-Find, Graph Theory, Sorting"
MEDIUM,Group Anagrams,60.5,0.007279892030134873,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,60.5,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Check Whether Two Strings are Almost Equivalent,60.5,0.00643598324437331,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
MEDIUM,Number of Islands,60.5,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule II,60.5,0.005574067366896052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Beautiful Towers II,60.5,0.003665976749134379,https://leetcode.com/problems/beautiful-towers-ii,"Array, Stack, Monotonic Stack"
MEDIUM,Beautiful Towers I,60.5,0.00446859717848273,https://leetcode.com/problems/beautiful-towers-i,"Array, Stack, Monotonic Stack"
EASY,Check If a Number Is Majority Element in a Sorted Array,60.5,0.005993830472103005,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,"Array, Binary Search"
EASY,Height Checker,60.5,0.00817826736210974,https://leetcode.com/problems/height-checker,"Array, Sorting, Counting Sort"
EASY,Matrix Similarity After Cyclic Shifts,60.5,0.007435774566897618,https://leetcode.com/problems/matrix-similarity-after-cyclic-shifts,"Array, Math, Matrix, Simulation"
