Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,100.0,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Increasing Subsequence,100.0,0.005957465798132385,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Burst Balloons,100.0,0.006375945091634308,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
HARD,Count Prefix and Suffix Pairs II,95.2,0.0028629813563461693,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
MEDIUM,Mark Elements on Array by Performing Queries,95.2,0.004950379451255108,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
HARD,Substring with Concatenation of All Words,95.2,0.0034579485665960983,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
EASY,Guess Number Higher or Lower,95.2,0.005774702235912652,https://leetcode.com/problems/guess-number-higher-or-lower,"Binary Search, Interactive"
HARD,Trapping Rain Water,89.4,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximize Distance to Closest Person,85.9,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Two Sum,81.9,0.005768897450886715,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Is Graph Bipartite?,77.1,0.005946014833440746,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Rotting Oranges,77.1,0.005886916462992876,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Possible Bipartition,77.1,0.005273072540827953,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Find Peak Element,77.1,0.00470299717828494,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Best Time to Buy and Sell Stock,71.3,0.0056963337872581125,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Vertical Order Traversal of a Binary Tree,71.3,0.005404426145891816,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Subarray Product Less Than K,71.3,0.00544900323530169,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,3Sum,63.8,0.003930115972390056,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,63.8,0.002368902174691551,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Sorting, Ordered Set, Bitmask"
MEDIUM,Minimum Cost of a Path With Special Roads,63.8,0.004340929731556382,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph Theory, Heap (Priority Queue), Shortest Path"
HARD,Minimize Deviation in Array,63.8,0.0054013262232440315,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Heap (Priority Queue), Ordered Set"
HARD,Number of Paths with Max Score,63.8,0.004265053961911794,https://leetcode.com/problems/number-of-paths-with-max-score,"Array, Dynamic Programming, Matrix"
MEDIUM,Rotate Array,63.8,0.004510322926903572,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Merge k Sorted Lists,63.8,0.00598178038630684,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Divide Two Integers,63.8,0.0019937282944186706,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Sort Colors,63.8,0.006987537752493766,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Generate Parentheses,63.8,0.00788115412408657,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Valid Parentheses,53.4,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Subarray,53.4,0.00534737721656055,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Longest Common Prefix,53.4,0.004778170375305726,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Maximum Product of Two Elements in an Array,53.4,0.00836215735526879,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
EASY,Faulty Keyboard,53.4,0.008036022941546197,https://leetcode.com/problems/faulty-keyboard,"String, Simulation"
MEDIUM,Number of Nodes in the Sub-Tree With the Same Label,53.4,0.005549768350317102,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
MEDIUM,Stone Game IX,53.4,0.0030391834878609504,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
EASY,Two Sum IV - Input is a BST,53.4,0.006340859814898712,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
EASY,Find the Width of Columns of a Grid,53.4,0.007051046764545948,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Minimum Number of Operations to Make String Sorted,53.4,0.005043447731062934,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,"Hash Table, Math, String, Combinatorics, Counting"
HARD,Design Graph With Shortest Path Calculator,53.4,0.006530291361827751,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph Theory, Design, Heap (Priority Queue), Shortest Path"
MEDIUM,Largest 1-Bordered Square,53.4,0.005222573433042942,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix"
HARD,Maximum Height by Stacking Cuboids ,53.4,0.006220567867036011,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
MEDIUM,Make Sum Divisible by P,53.4,0.004263735656021015,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
MEDIUM,Remove K Digits,53.4,0.003708674162047621,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Word Search,53.4,0.004758749555979351,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Word Ladder,53.4,0.004584420758297215,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Permutations,53.4,0.008205095686076589,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Search in Rotated Sorted Array,53.4,0.00450975435365841,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Path with Maximum Probability,53.4,0.006558264880412531,https://leetcode.com/problems/path-with-maximum-probability,"Array, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Coin Change,53.4,0.00486305416720974,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Next Permutation,53.4,0.00455181653772575,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Trapping Rain Water II,53.4,0.006409754170345743,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,Merge Intervals,53.4,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Intersection of Two Linked Lists,53.4,0.006403154835814296,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Merge Sorted Array,53.4,0.005509630852751068,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,53.4,0.0063988700772653175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Split Array Largest Sum,53.4,0.006072056737069974,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Jump Game II,53.4,0.004303512159066404,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,IPO,53.4,0.005358286246138409,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
