Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Burst Balloons,98.0,0.006375945091634308,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
HARD,Vertical Order Traversal of a Binary Tree,95.9,0.005404426145891816,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Number of Islands,95.9,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Increasing Subsequence,95.9,0.005957465798132385,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,93.7,0.002368902174691551,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Sorting, Ordered Set, Bitmask"
HARD,Number of Paths with Max Score,93.7,0.004265053961911794,https://leetcode.com/problems/number-of-paths-with-max-score,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Cost of a Path With Special Roads,93.7,0.004340929731556382,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph Theory, Heap (Priority Queue), Shortest Path"
HARD,Minimize Deviation in Array,93.7,0.0054013262232440315,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Heap (Priority Queue), Ordered Set"
MEDIUM,Stone Game IX,91.1,0.0030391834878609504,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
MEDIUM,Largest 1-Bordered Square,91.1,0.005222573433042942,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix"
HARD,Maximum Height by Stacking Cuboids ,91.1,0.006220567867036011,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
EASY,Maximum Product of Two Elements in an Array,91.1,0.00836215735526879,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Number of Nodes in the Sub-Tree With the Same Label,91.1,0.005549768350317102,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
EASY,Find the Width of Columns of a Grid,91.1,0.007051046764545948,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Design Graph With Shortest Path Calculator,91.1,0.006530291361827751,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph Theory, Design, Heap (Priority Queue), Shortest Path"
EASY,Two Sum IV - Input is a BST,91.1,0.006340859814898712,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
EASY,Faulty Keyboard,91.1,0.008036022941546197,https://leetcode.com/problems/faulty-keyboard,"String, Simulation"
HARD,Minimum Number of Operations to Make String Sorted,91.1,0.005043447731062934,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,"Hash Table, Math, String, Combinatorics, Counting"
HARD,Count Prefix and Suffix Pairs II,91.1,0.0028629813563461693,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
MEDIUM,Mark Elements on Array by Performing Queries,91.1,0.004950379451255108,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
HARD,Substring with Concatenation of All Words,91.1,0.0034579485665960983,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
EASY,Guess Number Higher or Lower,91.1,0.005774702235912652,https://leetcode.com/problems/guess-number-higher-or-lower,"Binary Search, Interactive"
HARD,Trapping Rain Water,88.4,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Find Maximum Value in a Constrained Sequence,88.4,0.006251267804383296,https://leetcode.com/problems/find-maximum-value-in-a-constrained-sequence,"Array, Greedy"
EASY,Two Sum,81.8,0.005768897450886715,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Maximize Distance to Closest Person,81.8,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
