Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,95.3,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,89.5,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,82.0,0.00788115412408657,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Number of Islands,82.0,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,String Compression,82.0,0.0060212023405973,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Container With Most Water,71.6,0.006024272210152558,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Valid Parentheses,71.6,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Pacific Atlantic Water Flow,71.6,0.0061099153054425814,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,First Missing Positive,71.6,0.004311807835121025,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Sliding Window Maximum,71.6,0.004889043633305889,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Longest Repeating Character Replacement,71.6,0.005992819287609541,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Best Time to Buy and Sell Stock II,71.6,0.007124017965115796,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Two Sum,64.1,0.005768897450886715,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,64.1,0.0038046533926825526,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Group Anagrams,64.1,0.007279892030134873,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,64.1,0.0056963337872581125,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Move Zeroes,64.1,0.0063988700772653175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Kth Largest Element in an Array,64.1,0.006903923243470567,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Number of Visible People in a Queue,64.1,0.00732512081769196,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Asteroid Collision,64.1,0.004821264611143374,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Set Matrix Zeroes,64.1,0.0063175177960032814,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Reverse Words in a String II,64.1,0.005674024542903255,https://leetcode.com/problems/reverse-words-in-a-string-ii,"Two Pointers, String"
HARD,LFU Cache,64.1,0.004951394404343435,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Coin Change,64.1,0.00486305416720974,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,64.1,0.007803691201613256,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
MEDIUM,Check if a Parentheses String Can Be Valid,64.1,0.004521076749804407,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,"String, Stack, Greedy"
MEDIUM,Jump Game II,64.1,0.004303512159066404,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
