Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,95.2,0.003929961158718206,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Lexicographically Smallest String After Operations With Constraint,95.2,0.006292583899003996,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
HARD,Number of Distinct Roll Sequences,95.2,0.005823024539630093,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
HARD,Find Minimum Diameter After Merging Two Trees,95.2,0.005703678096349272,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Trapping Rain Water,89.3,0.0067615239217655,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Maximum Score with Co-Prime Element,89.3,0.002731533861322127,https://leetcode.com/problems/maximum-score-with-co-prime-element,"Array, Hash Table, Math, Combinatorics, Enumeration, Number Theory"
MEDIUM,Number of Islands,85.7,0.006459362602904263,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Generate Parentheses,81.7,0.00788115412408657,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,String Compression,81.7,0.0060212023405973,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Valid Parentheses,76.8,0.004436555747276195,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Repeating Character Replacement,76.8,0.005992819287609541,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Container With Most Water,71.0,0.006024272210152558,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,First Missing Positive,71.0,0.004311807835121025,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Asteroid Collision,71.0,0.004821264611143374,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Sliding Window Maximum,71.0,0.004889043633305889,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Pacific Atlantic Water Flow,71.0,0.0061099153054425814,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
