Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Making A Large Island,100.0,0.005679364168438762,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Number of Islands,97.9,0.006459363138580116,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Bus Routes,97.9,0.0047366843719512585,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Number of Distinct Islands,97.9,0.006287405182125423,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Basic Calculator II,93.2,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Bricks Falling When Hit,93.2,0.0037411145658933272,https://leetcode.com/problems/bricks-falling-when-hit,"Array, Union-Find, Matrix"
MEDIUM,LRU Cache,87.5,0.004754641880119744,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Course Schedule II,84.0,0.00557407017428127,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Meeting Rooms II,84.0,0.00527230006470743,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Word Ladder,84.0,0.004584420758297215,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Minimum Window Substring,80.0,0.004780061515369826,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Design Log Storage System,75.3,0.005961780569580832,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
HARD,Word Break II,69.6,0.005572770278128279,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Decode Ways,69.6,0.003813480916572606,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
HARD,Best Meeting Point,69.6,0.006146211085038837,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,Best Time to Buy and Sell Stock III,69.6,0.005401006159816075,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Evaluate Division,69.6,0.006432727211422172,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
HARD,Shortest Path in a Grid with Obstacles Elimination,62.2,0.004640349570485128,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Course Schedule,62.2,0.005164934064317297,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Combination Sum,62.2,0.00767091581642056,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Merge Intervals,62.2,0.005211662708590609,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Reorder List,62.2,0.0065534930762100015,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
HARD,Word Search II,62.2,0.0038586299919595958,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Basic Calculator,62.2,0.004696590014761332,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,LFU Cache,62.2,0.004951407296797567,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Reaching Points,62.2,0.0034451653280483992,https://leetcode.com/problems/reaching-points,Math
MEDIUM,Minimum Remove to Make Valid Parentheses,62.2,0.007150186460684796,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Count Unreachable Pairs of Nodes in an Undirected Graph,62.2,0.005004108764278973,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
EASY,Power of Two,62.2,0.005021373737737465,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
MEDIUM,Word Search,51.8,0.0047587534570319515,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Alien Dictionary,51.8,0.0037248180934241655,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Closest Binary Search Tree Value,51.8,0.004917405846985624,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Word Abbreviation,51.8,0.006274712304514606,https://leetcode.com/problems/word-abbreviation,"Array, String, Greedy, Trie, Sorting"
MEDIUM,Remove K Digits,51.8,0.0037086761360443153,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,Frog Jump,51.8,0.004737657345964418,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Reverse Words in a String,51.8,0.005681702682286769,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Min Stack,51.8,0.005831170616219513,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,One Edit Distance,51.8,0.0034575111514326758,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Game of Life,51.8,0.007272394622619166,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Valid Sudoku,51.8,0.0064670483367032785,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Sudoku Solver,51.8,0.006558542211287099,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Combination Sum II,51.8,0.005963285045822338,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
HARD,Wildcard Matching,51.8,0.0032205568787935512,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Ternary Expression Parser,51.8,0.006264866602378656,https://leetcode.com/problems/ternary-expression-parser,"String, Stack, Recursion"
HARD,Burst Balloons,51.8,0.006375941269766317,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Binary Tree Vertical Order Traversal,51.8,0.005785774656730402,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,String Compression,51.8,0.006021203394720655,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Reverse Linked List,51.8,0.008070846357882258,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Largest Merge Of Two Strings,51.8,0.0054182713837886256,https://leetcode.com/problems/largest-merge-of-two-strings,"Two Pointers, String, Greedy"
MEDIUM,Unique Binary Search Trees,51.8,0.00638191227522961,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
HARD,Least Operators to Express Number,51.8,0.004860356138706654,https://leetcode.com/problems/least-operators-to-express-number,"Math, Dynamic Programming, Memoization"
MEDIUM,Combination Sum IV,51.8,0.0055173506604352,https://leetcode.com/problems/combination-sum-iv,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,51.8,0.007279893641863446,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Shortest Path in Binary Matrix,51.8,0.005173032395707845,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Product of Array Except Self,51.8,0.006900166638772689,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
