Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Parallel Courses III,100.0,0.0066834452843105895,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort"
MEDIUM,Course Schedule II,96.5,0.00557407017428127,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Painting the Walls,96.5,0.004912932643975298,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
HARD,Design In-Memory File System,92.6,0.004833522512296632,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
EASY,Happy Number,87.8,0.005983055344987514,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Shortest Word Distance,87.8,0.006634811591171748,https://leetcode.com/problems/shortest-word-distance,"Array, String"
EASY,Count Vowel Substrings of a String,87.8,0.007324854178684907,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Throne Inheritance,87.8,0.00673621594826615,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
MEDIUM,Parallel Courses,82.1,0.006229483711436016,https://leetcode.com/problems/parallel-courses,"Graph Theory, Topological Sort"
MEDIUM,Boundary of Binary Tree,82.1,0.0048137974048513285,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Maximum Profit in Job Scheduling,74.7,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Find All Anagrams in a String,64.2,0.005395816326976047,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Web Crawler,64.2,0.006878575283324338,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Keys and Rooms,64.2,0.0075891931234823165,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Trapping Rain Water,64.2,0.006761524520364245,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Graph Valid Tree,64.2,0.00500456193815216,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Top K Frequent Elements,64.2,0.0066704676988251,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Max Area of Island,64.2,0.007406427004617937,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Design Circular Deque,64.2,0.006478558707093574,https://leetcode.com/problems/design-circular-deque,"Array, Linked List, Design, Queue"
MEDIUM,Course Schedule,64.2,0.005164934064317297,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Design Browser History,64.2,0.00783599796243007,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
HARD,Making A Large Island,64.2,0.005679364168438762,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Number of Events That Can Be Attended,64.2,0.003900883144257029,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Design Add and Search Words Data Structure,64.2,0.0048643750090973745,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,64.2,0.00564555460049331,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Most Frequent IDs,64.2,0.004305933046072258,https://leetcode.com/problems/most-frequent-ids,"Array, Hash Table, Heap (Priority Queue), Ordered Set"
MEDIUM,Simplify Path,64.2,0.005080347941913681,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Possible Bipartition,64.2,0.005273071477123775,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
EASY,Calculate Amount Paid in Taxes,64.2,0.006945844872067979,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
