Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Happy Number,100.0,0.005983055344987514,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Course Schedule II,93.5,0.00557407017428127,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Minimum Window Substring,93.5,0.004780061515369826,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Search II,92.4,0.0038586299919595958,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Design In-Memory File System,90.0,0.004833522512296632,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Parallel Courses III,87.3,0.0066834452843105895,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort"
HARD,Trapping Rain Water,87.3,0.006761524520364245,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Calculate Amount Paid in Taxes,82.6,0.006945844872067979,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,82.6,0.00564555460049331,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Find All Anagrams in a String,80.8,0.005395816326976047,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
HARD,String Transformation,78.9,0.0027401622564258094,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
MEDIUM,Throne Inheritance,78.9,0.00673621594826615,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
HARD,Painting the Walls,76.7,0.004912932643975298,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
HARD,Maximum Profit in Job Scheduling,76.7,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Number of Ways to Form a Target String Given a Dictionary,74.3,0.00564418410041841,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
HARD,Merge k Sorted Lists,74.3,0.005981781172534715,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Count Vowel Substrings of a String,68.7,0.007324854178684907,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Basic Calculator,65.2,0.004696590014761332,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Maximum Number of Upgradable Servers,65.2,0.004370552147239264,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
EASY,Design HashMap,65.2,0.006665998469686747,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Course Schedule,65.2,0.005164934064317297,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Two Sum,65.2,0.005768895578172673,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Time Based Key-Value Store,61.1,0.004999058063603511,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Maximize Distance to Closest Person,61.1,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Max Area of Island,61.1,0.007406427004617937,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Remove Sub-Folders from the Filesystem,61.1,0.007859798334837055,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
MEDIUM,LRU Cache,56.1,0.004754641880119744,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Regular Expression Matching,56.1,0.003112633520978522,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Design Hit Counter,56.1,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Min Stack,56.1,0.005831170616219513,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Insert Delete GetRandom O(1),56.1,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Copy List with Random Pointer,56.1,0.0063142700955737185,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Merge Two Sorted Lists,56.1,0.006845218003844969,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Task Scheduler,56.1,0.0063290180700984544,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Number of Events That Can Be Attended,56.1,0.003900883144257029,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Top K Frequent Elements,56.1,0.0066704676988251,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Simplify Path,56.1,0.005080347941913681,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Parallel Courses,56.1,0.006229483711436016,https://leetcode.com/problems/parallel-courses,"Graph Theory, Topological Sort"
MEDIUM,Web Crawler Multithreaded,56.1,0.005124413701615578,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
MEDIUM,Design Log Storage System,56.1,0.005961780569580832,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
MEDIUM,Populating Next Right Pointers in Each Node,49.6,0.006734892593744999,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Integer to English Words,49.6,0.003506798222457669,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Find the Maximum Length of a Good Subsequence I,49.6,0.0032929798643029106,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,"Array, Hash Table, Dynamic Programming"
MEDIUM,Minimum Array Length After Pair Removals,49.6,0.0027712590419680656,https://leetcode.com/problems/minimum-array-length-after-pair-removals,"Array, Hash Table, Two Pointers, Binary Search, Greedy, Counting"
MEDIUM,Random Pick with Weight,49.6,0.004912308707924108,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Leaf-Similar Trees,49.6,0.007025942152448177,https://leetcode.com/problems/leaf-similar-trees,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Univalue Path,49.6,0.00440488700532351,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Single Element in a Sorted Array,49.6,0.005930886783378494,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Reverse Only Letters,49.6,0.0068631046990259605,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
