Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Happy Number,100.0,0.005983055344987514,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Course Schedule II,96.3,0.00557407017428127,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Design In-Memory File System,92.8,0.004833522512296632,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Parallel Courses III,92.8,0.0066834452843105895,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort"
HARD,Minimum Window Substring,90.9,0.004780061515369826,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Search II,89.8,0.0038586299919595958,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Trapping Rain Water,86.4,0.006761524520364245,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Painting the Walls,85.1,0.004912932643975298,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Throne Inheritance,83.7,0.00673621594826615,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
EASY,Calculate Amount Paid in Taxes,82.3,0.006945844872067979,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,82.3,0.00564555460049331,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Maximum Number of Upgradable Servers,80.7,0.004370552147239264,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
MEDIUM,Find All Anagrams in a String,80.7,0.005395816326976047,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
HARD,Maximum Profit in Job Scheduling,79.1,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
EASY,Count Vowel Substrings of a String,77.3,0.007324854178684907,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Minimum Array Length After Pair Removals,75.3,0.0027712590419680656,https://leetcode.com/problems/minimum-array-length-after-pair-removals,"Array, Hash Table, Two Pointers, Binary Search, Greedy, Counting"
MEDIUM,Find the Maximum Length of a Good Subsequence I,75.3,0.0032929798643029106,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,"Array, Hash Table, Dynamic Programming"
HARD,String Transformation,75.3,0.0027401622564258094,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
HARD,Find the Maximum Length of a Good Subsequence II,73.2,0.0025388309830369914,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii,"Array, Hash Table, Dynamic Programming"
HARD,Number of Ways to Form a Target String Given a Dictionary,70.8,0.00564418410041841,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
HARD,Merge k Sorted Lists,70.8,0.005981781172534715,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Course Schedule,68.2,0.005164934064317297,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Parallel Courses,68.2,0.006229483711436016,https://leetcode.com/problems/parallel-courses,"Graph Theory, Topological Sort"
EASY,Minimum Absolute Difference Between Two Values,68.2,0.006673940657264762,https://leetcode.com/problems/minimum-absolute-difference-between-two-values,"Array, Enumeration"
EASY,Design HashMap,65.2,0.006665998469686747,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Max Area of Island,65.2,0.007406427004617937,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,65.2,0.005768895578172673,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Boundary of Binary Tree,61.7,0.0048137974048513285,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Basic Calculator,61.7,0.004696590014761332,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Maximum Number of Events That Can Be Attended,61.7,0.003900883144257029,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Simplify Path,61.7,0.005080347941913681,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Top K Frequent Elements,61.7,0.0066704676988251,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Shortest Word Distance,61.7,0.006634811591171748,https://leetcode.com/problems/shortest-word-distance,"Array, String"
EASY,Merge Two Sorted Lists,57.6,0.006845218003844969,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Time Based Key-Value Store,57.6,0.004999058063603511,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,LRU Cache,57.6,0.004754641880119744,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Hit Counter,57.6,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Task Scheduler,57.6,0.0063290180700984544,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Copy List with Random Pointer,57.6,0.0063142700955737185,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Maximize Distance to Closest Person,57.6,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Design Add and Search Words Data Structure,57.6,0.0048643750090973745,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Remove Sub-Folders from the Filesystem,57.6,0.007859798334837055,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
MEDIUM,Web Crawler Multithreaded,57.6,0.005124413701615578,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
MEDIUM,Web Crawler,57.6,0.006878575283324338,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
HARD,Regular Expression Matching,52.7,0.003112633520978522,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Insert Delete GetRandom O(1),52.7,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Min Stack,52.7,0.005831170616219513,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Snapshot Array,52.7,0.0036750967419153934,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Single Element in a Sorted Array,52.7,0.005930886783378494,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Keys and Rooms,52.7,0.0075891931234823165,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Maximum Number of Events That Can Be Attended II,52.7,0.006345310826739805,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Design Log Storage System,52.7,0.005961780569580832,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
MEDIUM,Populating Next Right Pointers in Each Node,46.3,0.006734892593744999,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Integer to English Words,46.3,0.003506798222457669,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
