Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Mountain in Array,100.0,0.004226058293561698,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,100.0,0.008254242847597643,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Insert Delete GetRandom O(1),96.0,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Minimum Window Substring,91.3,0.004780061515369826,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Top K Frequent Elements,91.3,0.0066704676988251,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Maximum Number of Non-overlapping Palindrome Substrings,85.6,0.004482845188284519,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings,"Two Pointers, String, Dynamic Programming, Greedy"
MEDIUM,Number of Islands,78.2,0.006459363138580116,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Asteroid Collision,78.2,0.0048212694839523855,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Degree of an Array,78.2,0.0058448349005119585,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,LRU Cache,78.2,0.004754641880119744,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,67.8,0.005981781172534715,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Meeting Scheduler,67.8,0.005521452608693391,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Number of Alloys,67.8,0.004122001718884288,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
HARD,Word Ladder,67.8,0.004584420758297215,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Text Justification,67.8,0.0051389121242141214,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
