Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Create Components With Same Value,100.0,0.005374726349620384,https://leetcode.com/problems/create-components-with-same-value,"Array, Math, Tree, Depth-First Search, Enumeration"
HARD,Minimum Edge Weight Equilibrium Queries in a Tree,93.4,0.004674940898345154,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree,"Array, Dynamic Programming, Bit Manipulation, Tree, Depth-First Search"
HARD,Number of Great Partitions,93.4,0.00336316555690795,https://leetcode.com/problems/number-of-great-partitions,"Array, Dynamic Programming"
MEDIUM,Apply Bitwise Operations to Make Strings Equal,93.4,0.004274824696109086,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,"String, Bit Manipulation"
HARD,Apply Operations on Array to Maximize Sum of Squares,93.4,0.004478405315614618,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,"Array, Hash Table, Greedy, Bit Manipulation"
MEDIUM,Next Greater Numerically Balanced Number,93.4,0.006309274837860701,https://leetcode.com/problems/next-greater-numerically-balanced-number,"Hash Table, Math, Backtracking, Counting, Enumeration"
HARD,Count the Number of Powerful Integers,93.4,0.004624612751895672,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Math, String, Dynamic Programming"
MEDIUM,Number of Same-End Substrings,93.4,0.0061681923760076515,https://leetcode.com/problems/number-of-same-end-substrings,"Array, Hash Table, String, Counting, Prefix Sum"
HARD,Minimum Time to Revert Word to Initial State II,93.4,0.0035484529766159497,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Minimum Time to Revert Word to Initial State I,93.4,0.004265755001657044,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i,"String, Rolling Hash, String Matching, Hash Function"
HARD,Closest Subsequence Sum,93.4,0.004392137355100318,https://leetcode.com/problems/closest-subsequence-sum,"Array, Two Pointers, Dynamic Programming, Bit Manipulation, Sorting, Bitmask"
MEDIUM,Maximum Subarray Sum After One Operation,93.4,0.006521092042230595,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,"Array, Dynamic Programming"
HARD,Maximize Score After N Operations,93.4,0.005793336220916453,https://leetcode.com/problems/maximize-score-after-n-operations,"Array, Math, Dynamic Programming, Backtracking, Bit Manipulation, Number Theory, Bitmask"
MEDIUM,Choose Edges to Maximize Score in a Tree,93.4,0.005676788471435924,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree,"Dynamic Programming, Tree, Depth-First Search"
HARD,Maximum Score of Non-overlapping Intervals,93.4,0.0031727866320297687,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Sum of Subarray Minimums,75.9,0.0038729659149732546,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
