Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Count Good Meals,100.0,0.0032924770817303966,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
EASY,Next Greater Element I,94.8,0.007635190919796496,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Happy Number,88.4,0.005983055344987514,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Merge Sorted Array,80.3,0.005509630082139076,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Integer to Roman,80.3,0.007117967156430082,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Daily Temperatures,80.3,0.006882786530847861,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Fair Candy Swap,80.3,0.006517430242025015,https://leetcode.com/problems/fair-candy-swap,"Array, Hash Table, Binary Search, Sorting"
MEDIUM,Course Schedule,80.3,0.005164934064317297,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Edit Distance,80.3,0.00608072452688388,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Distinct Subsequences,80.3,0.005207551975316728,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
HARD,Maximum Profit in Job Scheduling,68.7,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Sort Colors,68.7,0.006987541013896728,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Minimum Value to Get Positive Step by Step Sum,68.7,0.006477928332515966,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
MEDIUM,Maximize Area of Square Hole in Grid,68.7,0.006196701403947906,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,"Array, Sorting"
HARD,Median of Two Sorted Arrays,68.7,0.004684269600739752,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Subarray Sum Equals K,68.7,0.004756675930910395,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Immediate Food Delivery II,68.7,0.005623890914705847,https://leetcode.com/problems/immediate-food-delivery-ii,Database
MEDIUM,Maximum Score From Removing Substrings,68.7,0.006641570687461253,https://leetcode.com/problems/maximum-score-from-removing-substrings,"String, Stack, Greedy"
MEDIUM,LRU Cache,68.7,0.004754641880119744,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,K Closest Points to Origin,68.7,0.006910631456759639,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Minimum Number of Work Sessions to Finish the Tasks,68.7,0.003503364868818883,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Two City Scheduling,68.7,0.006863555580764395,https://leetcode.com/problems/two-city-scheduling,"Array, Greedy, Sorting"
MEDIUM,Sum of Two Integers,68.7,0.0055691099998994185,https://leetcode.com/problems/sum-of-two-integers,"Math, Bit Manipulation"
HARD,Trapping Rain Water,68.7,0.006761524520364245,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Minimum Window Substring,68.7,0.004780061515369826,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Subarray,68.7,0.005347377376308821,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,68.7,0.0038046542204865975,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,68.7,0.004714867382630916,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Koko Eating Bananas,68.7,0.005015277711933525,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Maximum Product Subarray,68.7,0.0036570554967552947,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,68.7,0.003929961301885925,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
