Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,90.1,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Basic Calculator II,90.1,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Building H2O,86.8,0.005833691682658674,https://leetcode.com/problems/building-h2o,Concurrency
EASY,Best Time to Buy and Sell Stock,86.8,0.005696336597165568,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Design Circular Queue,83.1,0.005487069777604857,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Trapping Rain Water,83.1,0.006761525717561071,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Valid Parentheses,78.6,0.004436557611945568,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,73.2,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,73.2,0.004754642143807361,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Letter Combinations of a Phone Number,66.2,0.0066277901476227185,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Top K Frequent Elements,66.2,0.006670463474031702,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Reorganize String,66.2,0.005723998729138243,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Two Sum,66.2,0.005768895608331339,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Container With Most Water,56.3,0.006024275417470728,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,56.3,0.00393011853659194,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Minimum Changes To Make Alternating Binary String,56.3,0.006783881210943238,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
EASY,Find Followers Count,56.3,0.006961636222248253,https://leetcode.com/problems/find-followers-count,Database
EASY,Valid Anagram,56.3,0.0068265170399082675,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,56.3,0.005347377932750787,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Design Tic-Tac-Toe,56.3,0.005874844437222803,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
HARD,First Missing Positive,56.3,0.004311810895870469,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Rotate Image,56.3,0.008027342639106354,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Longest Consecutive Sequence,56.3,0.004714863046930894,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Course Schedule,56.3,0.005164939616481804,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Happy Number,56.3,0.005983058440570966,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Word Ladder,56.3,0.004584420758297215,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Evaluate Reverse Polish Notation,56.3,0.005803743192772342,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Shortest Bridge,56.3,0.0059553677342823255,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
