Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Find Followers Count,93.5,0.006961636222248253,https://leetcode.com/problems/find-followers-count,Database
EASY,Minimum Changes To Make Alternating Binary String,93.5,0.006783881210943238,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
EASY,Best Time to Buy and Sell Stock,90.9,0.005696336597165568,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Number of Islands,90.9,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Basic Calculator II,90.9,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Design Circular Queue,84.6,0.005487069777604857,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Building H2O,84.6,0.005833691682658674,https://leetcode.com/problems/building-h2o,Concurrency
MEDIUM,Longest Substring Without Repeating Characters,80.8,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Reorganize String,80.8,0.005723998729138243,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Trapping Rain Water,80.8,0.006761525717561071,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Valid Parentheses,76.3,0.004436557611945568,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Rectangle Area,76.3,0.004981015165762343,https://leetcode.com/problems/rectangle-area,"Math, Geometry"
MEDIUM,Letter Combinations of a Phone Number,70.8,0.0066277901476227185,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,3Sum,70.8,0.00393011853659194,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,LRU Cache,70.8,0.004754642143807361,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,70.8,0.005768895608331339,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,63.7,0.006670463474031702,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Maximum Subarray,63.7,0.005347377932750787,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Shortest Bridge,63.7,0.0059553677342823255,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Evaluate Division,63.7,0.006432724668878433,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
HARD,Word Ladder,63.7,0.004584420758297215,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Snakes and Ladders,63.7,0.00481567008597349,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Container With Most Water,53.7,0.006024275417470728,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Design Tic-Tac-Toe,53.7,0.005874844437222803,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
EASY,Valid Anagram,53.7,0.0068265170399082675,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,First Missing Positive,53.7,0.004311810895870469,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Longest Consecutive Sequence,53.7,0.004714863046930894,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Course Schedule,53.7,0.005164939616481804,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Rotate Image,53.7,0.008027342639106354,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Evaluate Reverse Polish Notation,53.7,0.005803743192772342,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
EASY,Happy Number,53.7,0.005983058440570966,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,UTF-8 Validation,53.7,0.004635076448502236,https://leetcode.com/problems/utf-8-validation,"Array, Bit Manipulation"
EASY,Design Parking System,53.7,0.008718151878191973,https://leetcode.com/problems/design-parking-system,"Design, Simulation, Counting"
HARD,Word Ladder II,53.7,0.0027787176490546833,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
MEDIUM,Design Memory Allocator,53.7,0.005030448237995407,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Find All Possible Recipes from Given Supplies,53.7,0.005696999297175599,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph Theory, Topological Sort"
HARD,Median of Two Sorted Arrays,53.7,0.0046842593693053386,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Is Subsequence,53.7,0.0049125558602055395,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Flatten Nested List Iterator,53.7,0.0065744363274518845,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
