Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754642143807361,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,82.8,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Possible Bipartition,75.6,0.005273070413427885,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Gas Station,75.6,0.004819457282359179,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Path Sum III,75.6,0.004647833047290768,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Course Schedule,75.6,0.005164939616481804,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Rotate Array,65.6,0.004510324194309176,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Cheapest Flights Within K Stops,65.6,0.004204859212125526,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Fruit Into Baskets,65.6,0.005149160861257867,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
HARD,Serialize and Deserialize N-ary Tree,65.6,0.006884453336793155,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,"String, Tree, Depth-First Search, Breadth-First Search"
HARD,All O`one Data Structure,65.6,0.004434194589801949,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Mountain in Array,65.6,0.004226058293561698,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Decode String,65.6,0.0062782173770233474,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Find First and Last Position of Element in Sorted Array,65.6,0.0049121719292025716,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Number of Distinct Islands,65.6,0.006287405182125423,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
HARD,Reverse Nodes in k-Group,65.6,0.006642208025405436,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Subsets,65.6,0.008247540041372332,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
