Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754642143807361,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,81.0,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Course Schedule,73.2,0.005164939616481804,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Text Justification,68.1,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Meeting Rooms II,61.5,0.00527230006470743,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Decode String,61.5,0.0062782173770233474,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Longest Mountain in Array,61.5,0.004226058293561698,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Subsets,61.5,0.008247540041372332,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Cheapest Flights Within K Stops,61.5,0.004204859212125526,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Possible Bipartition,61.5,0.005273070413427885,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Gas Station,61.5,0.004819457282359179,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Path Sum III,61.5,0.004647833047290768,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Substring Without Repeating Characters,52.2,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,52.2,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Kth Largest Element in an Array,52.2,0.006903924133982358,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Subarray Sum Equals K,52.2,0.00475667282283351,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Search in Rotated Sorted Array,52.2,0.004509755831698278,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Serialize and Deserialize Binary Tree,52.2,0.00609648926487922,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Word Search,52.2,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Longest Valid Parentheses,52.2,0.003902753113246049,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Jump Game,52.2,0.004106531043750693,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Sliding Window Maximum,52.2,0.0048890481583261395,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Best Time to Buy and Sell Stock,52.2,0.005696336597165568,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Spiral Matrix,52.2,0.005707387084570029,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Robot Bounded In Circle,52.2,0.005657182141867696,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Product of the Last K Numbers,52.2,0.006294205731181541,https://leetcode.com/problems/product-of-the-last-k-numbers,"Array, Math, Design, Data Stream, Prefix Sum"
MEDIUM,Rotate Array,52.2,0.004510324194309176,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Basic Calculator,52.2,0.004696593475651974,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Department Top Three Salaries,52.2,0.0060801488030482334,https://leetcode.com/problems/department-top-three-salaries,Database
EASY,Design HashMap,52.2,0.006666001313645709,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Find All Anagrams in a String,52.2,0.005395815981407466,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Fruit Into Baskets,52.2,0.005149160861257867,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,Top K Frequent Elements,52.2,0.006670463474031702,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Serialize and Deserialize N-ary Tree,52.2,0.006884453336793155,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,"String, Tree, Depth-First Search, Breadth-First Search"
HARD,All O`one Data Structure,52.2,0.004434194589801949,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Multiply Strings,52.2,0.004433667835559203,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Find First and Last Position of Element in Sorted Array,52.2,0.0049121719292025716,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Binary Tree Maximum Path Sum,52.2,0.0042430015911530585,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Number of Distinct Islands,52.2,0.006287405182125423,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
HARD,Reverse Nodes in k-Group,52.2,0.006642208025405436,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
