Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,96.7,0.004754642143807361,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Increasing Subsequence,93.5,0.0059574680655263106,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,89.8,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,89.1,0.0055740698101466955,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Number of Distinct Islands,89.1,0.006287405182125423,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Meeting Rooms II,87.7,0.00527230006470743,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Trapping Rain Water,86.9,0.006761525717561071,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Subarray With Elements Greater Than Varying Threshold,86.9,0.004565601733110884,https://leetcode.com/problems/subarray-with-elements-greater-than-varying-threshold,"Array, Stack, Union-Find, Monotonic Stack"
MEDIUM,Merge Intervals,86.2,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Course Schedule,82.8,0.005164939616481804,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Text Justification,78.8,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Longest Palindromic Substring,77.6,0.0038046553471175588,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Word Search,77.6,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Decode String,77.6,0.0062782173770233474,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,N-Queens,76.5,0.007584683349438387,https://leetcode.com/problems/n-queens,"Array, Backtracking"
HARD,Minimum Window Substring,76.5,0.004780059557543097,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,75.2,0.00393011853659194,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,73.9,0.004509755831698278,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Swaps to Group All 1's Together,73.9,0.0061251253726831816,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
EASY,Sqrt(x),72.5,0.004196730838432245,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
