Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754642143807361,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,99.3,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Increasing Subsequence,90.2,0.0059574680655263106,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,87.8,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Distinct Islands,87.2,0.006287405182125423,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Course Schedule II,86.5,0.0055740698101466955,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Meeting Rooms II,86.5,0.00527230006470743,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Merge Intervals,84.4,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Trapping Rain Water,83.7,0.006761525717561071,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Course Schedule,83.7,0.005164939616481804,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Subarray With Elements Greater Than Varying Threshold,83.7,0.004565601733110884,https://leetcode.com/problems/subarray-with-elements-greater-than-varying-threshold,"Array, Stack, Union-Find, Monotonic Stack"
HARD,Text Justification,79.6,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Decode String,77.7,0.0062782173770233474,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Word Search,76.8,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Longest Palindromic Substring,74.6,0.0038046553471175588,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,N-Queens,74.6,0.007584683349438387,https://leetcode.com/problems/n-queens,"Array, Backtracking"
