Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,93.5,0.004436557611945568,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Minimum Cost For Tickets,87.0,0.006743627881820024,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Validate IP Address,84.4,0.0028365973966341302,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Koko Eating Bananas,84.4,0.005015274683099772,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Baseball Game,77.9,0.008063171177499823,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Minimum Length of Anagram Concatenation,77.9,0.003988334322936676,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
MEDIUM,Longest Palindromic Substring,68.7,0.0038046553471175588,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,68.7,0.0044449515423232834,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
EASY,Longest Common Prefix,62.3,0.004778170033576788,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Best Time to Buy and Sell Stock,62.3,0.005696336597165568,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Minimum Number of Operations to Satisfy Conditions,62.3,0.004229982497205879,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,"Array, Dynamic Programming, Matrix"
EASY,Two Sum,62.3,0.005768895608331339,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Find the Town Judge,53.2,0.005086225754097194,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph Theory"
MEDIUM,Merge Intervals,53.2,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,53.2,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Subarray,53.2,0.005347377932750787,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Product of Array Except Self,53.2,0.006900170101121011,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Maximum Repeating Substring,53.2,0.004182824465403482,https://leetcode.com/problems/maximum-repeating-substring,"String, Dynamic Programming, String Matching"
MEDIUM,Kth Largest Element in an Array,53.2,0.006903924133982358,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Partition Array Into Three Parts With Equal Sum,53.2,0.0042879041948234945,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Group Anagrams,53.2,0.007279894716345154,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,53.2,0.0049121719292025716,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Race Car,53.2,0.004488585877878443,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Jump Game,53.2,0.004106531043750693,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,3Sum,53.2,0.00393011853659194,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Number of Operations to Make Word K-Periodic,53.2,0.006085321275381917,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,"Hash Table, String, Counting"
MEDIUM,Sum of Digit Differences of All Pairs,53.2,0.004318387778880594,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,"Array, Hash Table, Math, Counting"
HARD,Median of Two Sorted Arrays,53.2,0.0046842593693053386,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Count Square Sum Triples,53.2,0.007717188177731296,https://leetcode.com/problems/count-square-sum-triples,"Math, Enumeration"
MEDIUM,K Divisible Elements Subarrays,53.2,0.005504397595686379,https://leetcode.com/problems/k-divisible-elements-subarrays,"Array, Hash Table, Trie, Rolling Hash, Hash Function, Enumeration"
