Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003929963048216841,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,92.1,0.004436557611945568,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Validate IP Address,90.1,0.0028365973966341302,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Minimum Cost For Tickets,85.6,0.006743627881820024,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Koko Eating Bananas,82.9,0.005015274683099772,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Baseball Game,76.4,0.008063171177499823,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Minimum Length of Anagram Concatenation,76.4,0.003988334322936676,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
MEDIUM,Longest Arithmetic Subsequence,72.2,0.005002719892878065,https://leetcode.com/problems/longest-arithmetic-subsequence,"Array, Hash Table, Binary Search, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,67.2,0.0038046553471175588,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,67.2,0.0044449515423232834,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
MEDIUM,Minimum Number of Operations to Satisfy Conditions,67.2,0.004229982497205879,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,"Array, Dynamic Programming, Matrix"
HARD,Minimum Adjacent Swaps for K Consecutive Ones,67.2,0.004233465055236667,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,"Array, Greedy, Sliding Window, Prefix Sum"
EASY,Longest Common Prefix,60.6,0.004778170033576788,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Number of Islands,60.6,0.006459362255411317,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Best Time to Buy and Sell Stock,60.6,0.005696336597165568,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,60.6,0.005768895608331339,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Find the Town Judge,51.5,0.005086225754097194,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph Theory"
MEDIUM,Maximum Subarray,51.5,0.005347377932750787,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Merge Intervals,51.5,0.005211661780402194,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Degree of an Array,51.5,0.0058448349005119585,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Product of Array Except Self,51.5,0.006900170101121011,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Maximum Repeating Substring,51.5,0.004182824465403482,https://leetcode.com/problems/maximum-repeating-substring,"String, Dynamic Programming, String Matching"
EASY,Partition Array Into Three Parts With Equal Sum,51.5,0.0042879041948234945,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Kth Largest Element in an Array,51.5,0.006903924133982358,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Find First and Last Position of Element in Sorted Array,51.5,0.0049121719292025716,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Race Car,51.5,0.004488585877878443,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Jump Game,51.5,0.004106531043750693,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Number of Operations to Make Word K-Periodic,51.5,0.006085321275381917,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,"Hash Table, String, Counting"
MEDIUM,Group Anagrams,51.5,0.007279894716345154,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Sum of Digit Differences of All Pairs,51.5,0.004318387778880594,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,3Sum,51.5,0.00393011853659194,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,51.5,0.0046842593693053386,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,K Divisible Elements Subarrays,51.5,0.005504397595686379,https://leetcode.com/problems/k-divisible-elements-subarrays,"Array, Hash Table, Trie, Rolling Hash, Hash Function, Enumeration"
EASY,Count Square Sum Triples,51.5,0.007717188177731296,https://leetcode.com/problems/count-square-sum-triples,"Math, Enumeration"
MEDIUM,Non-decreasing Array,51.5,0.0025486142015185725,https://leetcode.com/problems/non-decreasing-array,Array
HARD,Minimum Cost Walk in Weighted Graph,51.5,0.006822558284471465,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,"Array, Bit Manipulation, Union-Find, Graph Theory"
MEDIUM,Ugly Number II,51.5,0.004965491091123207,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
