Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Word Search II,100.0,0.0038586351195873435,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Multiply Strings,95.3,0.004433669912083149,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Random Pick with Weight,89.5,0.004912308707924108,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Number of Provinces,82.1,0.007058545168883979,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
HARD,Parallel Courses III,82.1,0.0066834452843105895,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort"
MEDIUM,Maximum Subarray Sum with One Deletion,82.1,0.004810990479562756,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,"Array, Dynamic Programming"
HARD,Minimum Space Wasted From Packaging,82.1,0.0033619913658491786,https://leetcode.com/problems/minimum-space-wasted-from-packaging,"Array, Binary Search, Sorting, Prefix Sum"
MEDIUM,Design Memory Allocator,82.1,0.005030448237995407,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
HARD,Merge k Sorted Lists,71.6,0.005981782744989541,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Game of Life,71.6,0.007272397684186423,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
MEDIUM,Longest String Chain,71.6,0.006316918327344774,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
HARD,Wildcard Matching,71.6,0.003220564172132638,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
EASY,Power of Four,71.6,0.005218536213563355,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
MEDIUM,Maximum Sum Circular Subarray,71.6,0.005053309552580126,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
EASY,Intersection of Two Arrays,71.6,0.007793581687448137,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Number of Islands,71.6,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Meeting Rooms II,71.6,0.005272302165786939,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
