Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,First Unique Number,100.0,0.005772286580818377,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
HARD,Number of Islands II,90.4,0.004065304164521254,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
HARD,Bus Routes,87.9,0.00473669276225911,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,87.9,0.0057795319128310174,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,The Earliest Moment When Everyone Become Friends,87.9,0.006609930171703396,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
EASY,Squares of a Sorted Array,85.2,0.0073858237213518,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Construct Quad Tree,82.0,0.007843212550750682,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
EASY,Final Prices With a Special Discount in a Shop,82.0,0.008421028845398098,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
HARD,Alien Dictionary,78.4,0.0037248200202323776,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Minimum Edge Reversals So Every Node Is Reachable,74.1,0.005980445928222249,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Count Paths That Can Form a Palindrome in a Tree,74.1,0.005257197762602519,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Leftmost Column with at Least a One,68.8,0.0055251472310570105,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Number of Islands,62.1,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Kth Smallest Element in a BST,62.1,0.007697096720080521,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Word Search,62.1,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Minimum Operations to Reduce an Integer to 0,62.1,0.006274181764276109,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
HARD,Split Array Largest Sum,62.1,0.00607207110025487,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Time Based Key-Value Store,62.1,0.004999054759188336,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Find Peak Element,62.1,0.0047029958482232735,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Shuffle an Array,62.1,0.005979559241457397,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
HARD,Count the Number of Infection Sequences,62.1,0.00378687127024723,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
HARD,Find the Closest Palindrome,62.1,0.003200777077584195,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
HARD,Word Search II,62.1,0.0038586351195873435,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Design Hit Counter,52.6,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Insert Delete GetRandom O(1),52.6,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Merge Intervals,52.6,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Find Median from Data Stream,52.6,0.005463241598660296,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Maximum Number of Points From Grid Queries,52.6,0.00592598354525056,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,"Array, Two Pointers, Breadth-First Search, Union-Find, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Evaluate Division,52.6,0.006432727834151431,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,52.6,0.006028055736301872,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union-Find, Sorting"
MEDIUM,Number of Wonderful Substrings,52.6,0.006660769764976791,https://leetcode.com/problems/number-of-wonderful-substrings,"Hash Table, String, Bit Manipulation, Prefix Sum"
MEDIUM,Binary Searchable Numbers in an Unsorted Array,52.6,0.006394526445264452,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array,"Array, Binary Search, Stack, Monotonic Stack"
HARD,Minimum Number of Refueling Stops,52.6,0.004158713672617531,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
