Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,First Unique Number,100.0,0.005772286580818377,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
HARD,Minimum Edge Reversals So Every Node Is Reachable,100.0,0.005980445928222249,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Number of Islands II,98.8,0.004065304164521254,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
HARD,Count Paths That Can Form a Palindrome in a Tree,98.8,0.005257197762602519,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,97.5,0.0057795319128310174,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Construct Quad Tree,93.1,0.007843212550750682,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
HARD,Bus Routes,93.1,0.00473669276225911,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Alien Dictionary,91.4,0.0037248200202323776,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,The Earliest Moment When Everyone Become Friends,91.4,0.006609930171703396,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
EASY,Squares of a Sorted Array,89.6,0.0073858237213518,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Final Prices With a Special Discount in a Shop,89.6,0.008421028845398098,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
MEDIUM,Leftmost Column with at Least a One,83.3,0.0055251472310570105,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Kth Smallest Element in a BST,77.9,0.007697096720080521,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Design Hit Counter,77.9,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
