Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Bus Routes,100.0,0.00473669276225911,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Alien Dictionary,92.7,0.0037248200202323776,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,91.8,0.0057795319128310174,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Number of Islands,90.5,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Number of Islands II,83.8,0.004065304164521254,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
EASY,Squares of a Sorted Array,83.3,0.0073858237213518,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,Find the Closest Palindrome,81.8,0.003200777077584195,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
MEDIUM,Construct Quad Tree,81.8,0.007843212550750682,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Kth Smallest Element in a BST,77.2,0.007697096720080521,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Word Search,75.9,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Word Search II,74.4,0.0038586351195873435,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Design Hit Counter,74.4,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,My Calendar I,74.4,0.005832704360005558,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
MEDIUM,Product of Array Except Self,73.7,0.0069001713735827195,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Text Justification,72.9,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,First Unique Number,72.9,0.005772286580818377,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
MEDIUM,LRU Cache,72.0,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),72.0,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Evaluate Division,71.2,0.006432727834151431,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
HARD,Block Placement Queries,71.2,0.004145970507973862,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
EASY,Best Time to Buy and Sell Stock,66.3,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Course Schedule II,66.3,0.005574075060766135,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Basic Calculator,65.1,0.004696590410758661,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
