Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Interval List Intersections,100.0,0.007306717443664015,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
HARD,Maximum Profit in Job Scheduling,95.4,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Time Based Key-Value Store,89.6,0.004999054759188336,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Snapshot Array,86.1,0.0036750872641418196,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Non-overlapping Intervals,86.1,0.005728405445177871,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Basic Calculator II,86.1,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,LRU Cache,86.1,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Sub-Folders from the Filesystem,81.9,0.007859798334837055,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
EASY,Transpose Matrix,76.8,0.007660041129127707,https://leetcode.com/problems/transpose-matrix,"Array, Matrix, Simulation"
MEDIUM,Integer to Roman,76.8,0.007117969028918968,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Basic Calculator III,70.2,0.005341223881607911,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
EASY,Number of 1 Bits,70.2,0.0077014712128131825,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
EASY,Merge Sorted Array,70.2,0.005509633651522216,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Valid Sudoku,70.2,0.006467049387699764,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Merge Intervals,70.2,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Guess the Word,60.9,0.0036681743870377475,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Interactive, Game Theory"
EASY,Diameter of Binary Tree,60.9,0.0065727526610959005,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,LFU Cache,60.9,0.004951439405422402,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,60.9,0.005981782744989541,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
