Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Divisible Triplet Sums,100.0,0.006759746391474437,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,Beautiful Arrangement,92.4,0.006483887887038412,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Count Palindromic Subsequences,87.5,0.004130848371783742,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
MEDIUM,Exclusive Time of Functions,87.5,0.00662148498641671,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
EASY,Best Time to Buy and Sell Stock,81.6,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,81.6,0.003804655500546776,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Number of Perfect Pairs,81.6,0.003430410056869201,https://leetcode.com/problems/number-of-perfect-pairs,"Array, Math, Two Pointers, Sorting"
MEDIUM,Divide Players Into Teams of Equal Skill,81.6,0.006892998173319724,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Maximum OR,81.6,0.004329028757460661,https://leetcode.com/problems/maximum-or,"Array, Greedy, Bit Manipulation, Prefix Sum"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,81.6,0.007803691201613256,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
EASY,Two Sum,74.0,0.005768896943827939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Text Justification,74.0,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,LRU Cache,74.0,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Length of the Longest Common Prefix,74.0,0.006227348089105884,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,3Sum,74.0,0.003930121308153282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Minimum Cost Path with Teleportations,74.0,0.004542914960447512,https://leetcode.com/problems/minimum-cost-path-with-teleportations,"Array, Dynamic Programming, Matrix"
MEDIUM,Sell Diminishing-Valued Colored Balls,74.0,0.0030236561383375497,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,"Array, Math, Binary Search, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Merge Intervals,74.0,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,63.3,0.003929965776265169,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Palindrome Partitioning,63.3,0.007421394986314191,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Maximum Palindromes After Operations,63.3,0.004701909498372936,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Path With Minimum Effort,63.3,0.006346682870825001,https://leetcode.com/problems/path-with-minimum-effort,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
MEDIUM,Minimum Suffix Flips,63.3,0.0073972424133772275,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
MEDIUM,Minimize Maximum of Array,63.3,0.004654633935429862,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Group Anagrams,63.3,0.007279897151569383,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Islands,63.3,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,63.3,0.0031269757418727305,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
MEDIUM,Count Ways To Build Good Strings,63.3,0.005886860949101613,https://leetcode.com/problems/count-ways-to-build-good-strings,Dynamic Programming
