Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Length of Longest V-Shaped Diagonal Segment,100.0,0.005617814133151556,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
HARD,Text Justification,97.8,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotating the Box,96.6,0.008248614502666429,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,94.1,0.006463220538371047,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Two Sum,92.7,0.005768896943827939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,91.3,0.003929965776265169,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,89.7,0.003930121308153282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Find the Length of the Longest Common Prefix,86.3,0.006227348089105884,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
HARD,Block Placement Queries,84.4,0.004145970507973862,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
EASY,Split the Array,82.3,0.006148761869298083,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,LRU Cache,82.3,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Black Blocks,82.3,0.004195066171784202,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
EASY,Best Time to Buy and Sell Stock,80.0,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Simplify Path,80.0,0.005080347881652438,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Number of Adjacent Elements With the Same Color,80.0,0.0059854778906893715,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
HARD,Trapping Rain Water,74.6,0.006761528111952068,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,74.6,0.007279897151569383,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,71.4,0.005347378708175318,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Valid Parentheses,71.4,0.004436559274735546,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Largest Rectangle in Histogram,71.4,0.005018794551238438,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Longest Common Prefix,67.7,0.00477817428553112,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Merge Intervals,67.7,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimum Time Difference,67.7,0.006262648564433562,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,67.7,0.0037825994582248897,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Spiral Matrix,63.3,0.005707388750901669,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Number of Islands,63.3,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Reverse Linked List,63.3,0.008070849744069002,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Create Target Array in the Given Order,58.0,0.008650457565669772,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation"
MEDIUM,Walls and Gates,58.0,0.006404519398323927,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Course Schedule,58.0,0.005164944232628777,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Restore IP Addresses,58.0,0.005629963733993056,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,58.0,0.0057795319128310174,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
EASY,Happy Number,58.0,0.005983063599866116,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Grid Teleportation Traversal,58.0,0.002375048300656889,https://leetcode.com/problems/grid-teleportation-traversal,"Array, Hash Table, Breadth-First Search, Matrix"
MEDIUM,Matrix Block Sum,58.0,0.0076639596901718,https://leetcode.com/problems/matrix-block-sum,"Array, Matrix, Prefix Sum"
MEDIUM,Gas Station,58.0,0.004819455610149443,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Rotate Image,58.0,0.008027345814582037,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Longest Palindromic Substring,51.2,0.003804655500546776,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
