Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005138915871826422,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Length of Longest V-Shaped Diagonal Segment,98.9,0.005617814133151556,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
MEDIUM,Rotating the Box,96.7,0.008248614502666429,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
EASY,Two Sum,95.5,0.005768896943827939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Split the Array,94.2,0.006148761869298083,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,Longest Substring Without Repeating Characters,92.9,0.003929965776265169,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,92.9,0.003930121308153282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,92.9,0.006463220538371047,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
MEDIUM,Find the Length of the Longest Common Prefix,90.0,0.006227348089105884,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
EASY,Best Time to Buy and Sell Stock,86.6,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,86.6,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Create Target Array in the Given Order,82.8,0.008650457565669772,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation"
HARD,Block Placement Queries,82.8,0.004145970507973862,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,Number of Black Blocks,80.7,0.004195066171784202,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Group Anagrams,78.3,0.007279897151569383,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Divisor Game,78.3,0.007197501865310747,https://leetcode.com/problems/divisor-game,"Math, Dynamic Programming, Brainteaser, Game Theory"
MEDIUM,Count Nodes With the Highest Score,78.3,0.005282230137528445,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
EASY,Two Furthest Houses With Different Colors,78.3,0.007176771685429659,https://leetcode.com/problems/two-furthest-houses-with-different-colors,"Array, Greedy"
HARD,Earliest Possible Day of Full Bloom,78.3,0.0071190216204411435,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,"Array, Greedy, Sorting"
MEDIUM,Match Alphanumerical Pattern in Matrix I,78.3,0.006523809523809524,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,"Array, Hash Table, String, Matrix"
MEDIUM,Maximum Number of Events That Can Be Attended,78.3,0.003900883144257029,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
EASY,Odd String Difference,78.3,0.00620833390277569,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
MEDIUM,Simplify Path,78.3,0.005080347881652438,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Number of Adjacent Elements With the Same Color,78.3,0.0059854778906893715,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Merge Intervals,75.7,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Trapping Rain Water,72.8,0.006761528111952068,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Subarray,72.8,0.005347378708175318,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Largest Rectangle in Histogram,72.8,0.005018794551238438,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Number of Divisible Triplet Sums,72.8,0.006759746391474437,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Maximum Sum of Alternating Subsequence With Distance at Least K,72.8,0.0032072308477294263,https://leetcode.com/problems/maximum-sum-of-alternating-subsequence-with-distance-at-least-k,"Array, Dynamic Programming, Segment Tree"
MEDIUM,Longest Palindromic Substring,69.5,0.003804655500546776,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,69.5,0.004436559274735546,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Islands,69.5,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Longest Common Prefix,65.7,0.00477817428553112,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Minimum Time Difference,65.7,0.006262648564433562,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,65.7,0.0037825994582248897,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Beautiful Arrangement,65.7,0.006483887887038412,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Walls and Gates,61.2,0.006404519398323927,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Spiral Matrix,61.2,0.005707388750901669,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Reverse Linked List,61.2,0.008070849744069002,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Rotate Image,61.2,0.008027345814582037,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Count Palindromic Subsequences,61.2,0.004130848371783742,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
MEDIUM,Exclusive Time of Functions,61.2,0.00662148498641671,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,Course Schedule,55.7,0.005164944232628777,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,55.7,0.0057795319128310174,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Restore IP Addresses,55.7,0.005629963733993056,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Container With Most Water,55.7,0.006024277573333843,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Two Sorted Lists,55.7,0.006845216588370958,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Sort Colors,55.7,0.006987536385439906,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Happy Number,55.7,0.005983063599866116,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Grid Teleportation Traversal,55.7,0.002375048300656889,https://leetcode.com/problems/grid-teleportation-traversal,"Array, Hash Table, Breadth-First Search, Matrix"
MEDIUM,Matrix Block Sum,55.7,0.0076639596901718,https://leetcode.com/problems/matrix-block-sum,"Array, Matrix, Prefix Sum"
MEDIUM,Gas Station,55.7,0.004819455610149443,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Subarray Sum Equals K,55.7,0.004756672478798268,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Number of Changing Keys,55.7,0.008078916677465336,https://leetcode.com/problems/number-of-changing-keys,String
HARD,Minimum Cost Path with Teleportations,55.7,0.004542914960447512,https://leetcode.com/problems/minimum-cost-path-with-teleportations,"Array, Dynamic Programming, Matrix"
MEDIUM,Number of Perfect Pairs,55.7,0.003430410056869201,https://leetcode.com/problems/number-of-perfect-pairs,"Array, Math, Two Pointers, Sorting"
MEDIUM,Divide Players Into Teams of Equal Skill,55.7,0.006892998173319724,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Maximum OR,55.7,0.004329028757460661,https://leetcode.com/problems/maximum-or,"Array, Greedy, Bit Manipulation, Prefix Sum"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,55.7,0.007803691201613256,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
MEDIUM,Check If Array Pairs Are Divisible by k,48.7,0.004619149566878562,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,"Array, Hash Table, Counting"
EASY,Diameter of Binary Tree,48.7,0.0065727526610959005,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Image Smoother,48.7,0.0069375442128747885,https://leetcode.com/problems/image-smoother,"Array, Matrix"
MEDIUM,Top K Frequent Elements,48.7,0.006670466481723438,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Word Ladder,48.7,0.0045844224829187106,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
